pre_gappei_code,old_mun_name,code,gun_code,pop,mun_name,lh_2022
21201,旧岐阜市,21201,210001,382838,岐阜市,1
21304,旧柳津町,21201,210002,13357,岐阜市,1
21202,-,21202,210003,153352,大垣市,2
21203,-,21203,210004,83713,高山市,4
21204,-,21204,210005,104862,多治見市,5
21205,-,21205,210006,83331,関市,3
21206,-,21206,210007,74815,中津川市,5
21207,-,21207,210008,18761,美濃市,3
21208,-,21208,210009,36209,瑞浪市,5
21209,-,21209,210010,64662,羽島市,3
21210,-,21210,210011,46956,恵那市,5
21211,-,21211,210012,52047,美濃加茂市,4
21212,-,21212,210013,53708,土岐市,5
21213,-,21213,210014,141547,各務原市,3
21214,-,21214,210015,92633,可児市,4
21215,-,21215,210016,24687,山県市,3
21216,-,21216,210017,54230,瑞穂市,3
21217,-,21217,210018,22416,飛騨市,4
21218,-,21218,210019,32352,本巣市,3
21219,-,21219,210020,38504,郡上市,4
21220,-,21220,210021,29965,下呂市,4
21221,-,21221,210022,32049,海津市,2
21302,-,21302,21300,25307,岐南町,3
21303,-,21303,21300,21887,笠松町,3
21341,-,21341,21340,26444,養老町,2
21361,-,21361,21360,25608,垂井町,2
21362,-,21362,21360,6471,関ケ原町,2
21381,-,21381,21380,18222,神戸町,2
21382,-,21382,21380,9198,輪之内町,2
21383,-,21383,21380,14080,安八町,2
21401,-,21401,21400,19307,揖斐川町,2
21403,-,21403,21400,21779,大野町,2
21404,-,21404,21400,22840,池田町,2
21421,-,21421,21420,17703,北方町,3
21501,-,21501,21500,7568,坂祝町,4
21502,-,21502,21500,5491,富加町,4
21503,-,21503,21500,9660,川辺町,4
21504,-,21504,21500,3375,七宗町,4
21505,-,21505,21500,10056,八百津町,4
21506,-,21506,21500,7308,白川町,4
21507,-,21507,21500,1996,東白川村,4
21521,-,21521,21520,16987,御嵩町,4
21604,-,21604,21600,1482,白川村,4
