pre_gappei_code,old_mun_name,code,gun_code,pop,mun_name,lh_2022
30201,-,30201,300001,353684,和歌山市,1
30202,-,30202,300002,48113,海南市,2
30203,-,30203,300003,60505,橋本市,2
30204,-,30204,300004,26401,有田市,2
30205,-,30205,300005,23318,御坊市,2
30206,-,30206,300006,69618,田辺市,2
30207,-,30207,300007,27008,新宮市,2
30208,-,30208,300008,58419,紀の川市,1
30209,-,30209,300009,53584,岩出市,1
30304,-,30304,30300,8221,紀美野町,2
30341,-,30341,30340,15890,かつらぎ町,2
30343,-,30343,30340,3852,九度山町,2
30344,-,30344,30340,2941,高野町,2
30361,-,30361,30360,11085,湯浅町,2
30362,-,30362,30360,6737,広川町,2
30366,-,30366,30360,25182,有田川町,2
30381,-,30381,30380,6838,美浜町,2
30382,-,30382,30380,7656,日高町,2
30383,-,30383,30380,5327,由良町,2
30390,-,30390,30380,7688,印南町,2
30391,-,30391,30380,11741,みなべ町,2
30392,-,30392,30380,9186,日高川町,2
30401,-,30401,30400,20117,白浜町,2
30404,-,30404,30400,15198,上富田町,2
30406,-,30406,30400,3663,すさみ町,2
30421,-,30421,30420,14030,那智勝浦町,2
30422,-,30422,30420,2781,太地町,2
30424,-,30424,30420,2468,古座川町,2
30427,-,30427,30420,404,北山村,2
30428,-,30428,30420,14900,串本町,2
