pre_gappei_code,old_mun_name,code,gun_code,pop,mun_name,lh_2022
22101,-,22101,220001,246541,静岡市葵区,1
22102,-,22102,220002,208758,静岡市駿河区,1
22103,-,22103,220003,228326,静岡市清水区,4
22131,-,22131,220004,227022,浜松市中区,8
22132,-,22132,220005,126281,浜松市東区,8
22133,-,22133,220006,105516,浜松市西区,7
22134,-,22134,220007,95661,浜松市南区,8
22135,-,22135,220008,90962,浜松市北区,7
22136,-,22136,220009,96532,浜松市浜北区,7
22137,-,22137,220010,26376,浜松市天竜区,7
22203,-,22203,220011,185344,沼津市,6
22205,-,22205,220012,33714,熱海市,6
22206,-,22206,220013,106591,三島市,5
22207,-,22207,220014,126191,富士宮市,4
22208,-,22208,220015,64997,伊東市,6
22209,-,22209,220016,94413,島田市,2
22210,旧富士市,22210,220017,225948,富士市,5
22381,旧富士川町,22210,220018,14446,富士市,4
22211,-,22211,220019,159326,磐田市,3
22212,-,22212,220020,132490,焼津市,2
22213,-,22213,220021,110864,掛川市,3
22214,-,22214,220022,139724,藤枝市,2
22215,-,22215,220023,84514,御殿場市,5
22216,-,22216,220024,83528,袋井市,3
22219,-,22219,220025,20010,下田市,6
22220,-,22220,220026,50199,裾野市,5
22221,-,22221,220027,54601,湖西市,7
22222,-,22222,220028,27993,伊豆市,6
22421,旧御前崎町,22223,220029,9364,御前崎市,3
22444,旧浜岡町,22223,220030,20825,御前崎市,3
22224,-,22224,220031,44316,菊川市,3
22321,旧伊豆長岡町,22225,220032,13709,伊豆の国市,6
22326,旧韮山町,22225,220033,18830,伊豆の国市,6
22327,旧大仁町,22225,220034,13711,伊豆の国市,6
22226,-,22226,220035,41534,牧之原市,2
22301,-,22301,22300,11348,東伊豆町,6
22302,-,22302,22300,6826,河津町,6
22304,-,22304,22300,7832,南伊豆町,6
22305,-,22305,22300,6017,松崎町,6
22306,-,22306,22300,7002,西伊豆町,6
22325,-,22325,22320,36512,函南町,5
22341,-,22341,22340,30556,清水町,6
22342,-,22342,22340,42935,長泉町,6
22344,-,22344,22340,18372,小山町,5
22424,-,22424,22420,27364,吉田町,2
22429,-,22429,22420,6119,川根本町,2
22461,-,22461,22460,17116,森町,3
