pre_gappei_code,old_mun_name,code,gun_code,pop,mun_name,lh_2022
8201,旧水戸市,8201,80001,252615,水戸市,1
8305,旧内原町,8201,80002,15252,水戸市,1
8202,-,8202,80003,173015,日立市,5
8203,-,8203,80004,138424,土浦市,6
8204,-,8204,80005,136324,古河市,7
8205,-,8205,80006,72050,石岡市,6
8207,-,8207,80007,48588,結城市,7
8208,-,8208,80008,74510,龍ケ崎市,3
8210,旧下妻市,8210,80009,32233,下妻市,7
8522,旧千代川村,8210,80010,8340,下妻市,7
8211,-,8211,80011,56079,常総市,7
8212,-,8212,80012,48428,常陸太田市,4
8214,-,8214,80013,27505,高萩市,5
8215,-,8215,80014,41460,北茨城市,5
8216,旧笠間市,8216,80015,23729,笠間市,1
8321,旧友部町,8216,80016,34965,笠間市,1
8322,旧岩間町,8216,80017,13807,笠間市,1
8217,-,8217,80018,103132,取手市,3
8219,-,8219,80019,83278,牛久市,3
8220,-,8220,80020,235100,つくば市,6
8221,-,8221,80021,155003,ひたちなか市,4
8222,-,8222,80022,66071,鹿嶋市,2
8223,-,8223,80023,27262,潮来市,2
8224,-,8224,80024,67294,守谷市,3
8308,旧御前山村,8225,80025,3205,常陸大宮市,4
8344,旧大宮町,8225,80026,24100,常陸大宮市,4
8345,旧山方町,8225,80027,5658,常陸大宮市,4
8346,旧美和村,8225,80028,2964,常陸大宮市,4
8347,旧緒川村,8225,80029,3096,常陸大宮市,4
8226,-,8226,80030,53249,那珂市,4
8227,-,8227,80031,98382,筑西市,1
8228,-,8228,80032,50023,坂東市,7
8229,-,8229,80033,38017,稲敷市,3
8230,-,8230,80034,39071,かすみがうら市,6
8231,-,8231,80035,38838,桜川市,1
8232,-,8232,80036,92798,神栖市,2
8233,-,8233,80037,31254,行方市,2
8234,-,8234,80038,43479,鉾田市,2
8235,-,8235,80039,49448,つくばみらい市,6
8303,旧小川町,8236,80040,15846,小美玉市,2
8304,旧美野里町,8236,80041,24024,小美玉市,2
8462,旧玉里村,8236,80042,7700,小美玉市,2
8302,-,8302,8300,30854,茨城町,2
8309,-,8309,8300,15011,大洗町,2
8310,-,8310,8300,18031,城里町,1
8341,-,8341,8340,37606,東海村,5
8364,-,8364,8360,15654,大子町,4
8442,-,8442,8440,14299,美浦村,3
8443,-,8443,8440,47688,阿見町,3
8447,-,8447,8440,8124,河内町,3
8521,-,8521,8520,19953,八千代町,7
8542,-,8542,8540,7948,五霞町,7
8546,-,8546,8540,23305,境町,7
8564,-,8564,8560,15100,利根町,3
