code,gun_code,pop,mun_name,sub_name,lh_2022
27102,270001,104980,大阪市都島区,-,4
27103,270002,77890,大阪市福島区,-,4
27104,270003,63492,大阪市此花区,-,5
27106,270004,101883,大阪市西区,-,1
27107,270005,78424,大阪市港区,-,1
27108,270006,60692,大阪市大正区,-,3
27109,270007,77909,大阪市天王寺区,-,1
27111,270008,66646,大阪市浪速区,-,1
27113,270009,92270,大阪市西淀川区,-,5
27114,270010,170887,大阪市東淀川区,-,5
27115,270011,78783,大阪市東成区,-,1
27116,270012,103652,大阪市生野区,-,2
27117,270013,87627,大阪市旭区,-,6
27118,270014,164344,大阪市城東区,-,4
27119,270015,108157,大阪市阿倍野区,-,2
27120,270016,149676,大阪市住吉区,-,3
27121,270017,124834,大阪市東住吉区,-,2
27122,270018,98787,大阪市西成区,-,3
27123,270019,176960,大阪市淀川区,-,5
27124,270020,110812,大阪市鶴見区,-,6
27125,270021,116403,大阪市住之江区,-,3
27126,270022,184798,大阪市平野区,-,2
27127,270023,134488,大阪市北区,-,4
27128,270024,96432,大阪市中央区,-,1
27141,270025,144505,堺市堺区,-,16
27142,270026,120023,堺市中区,-,17
27143,270027,84315,堺市東区,-,16
27144,270028,133808,堺市西区,-,17
27145,270029,136004,堺市南区,-,17
27146,270030,157968,堺市北区,-,16
27147,270031,37052,堺市美原区,-,15
27202,270032,188245,岸和田市,-,18
27203,270033,396271,豊中市,-,8
27204,270034,103111,池田市,-,8
27205,270035,380849,吹田市,-,7
27206,270036,73231,泉大津市,-,18
27207,270037,349676,高槻市,-,10
27208,270038,83578,貝塚市,-,19
27209,270039,140873,守口市,-,6
27210,270040,394199,枚方市,-,11
27211,270041,284514,茨木市,-,9
27212,270042,257538,八尾市,-,14
27213,270043,98396,泉佐野市,-,19
27214,270044,107388,富田林市,-,15
27215,270045,227107,寝屋川市,-,12
27216,270046,101075,河内長野市,-,15
27217,270047,116159,松原市,-,15
27218,270048,116839,大東市,-,12
27219,270049,182232,和泉市,-,18
27220,270050,134495,箕面市,-,9
27221,270051,67495,柏原市,-,14
27222,270052,107786,羽曳野市,-,14
27223,270053,116931,門真市,-,6
27224,270054,86074,摂津市,-,7
27225,270055,55170,高石市,-,18
27226,270056,63003,藤井寺市,-,14
27227,270057,480705,東大阪市,-,13
27228,270058,59513,泉南市,-,19
27229,270059,54696,四條畷市,-,12
27230,270060,74534,交野市,-,11
27231,270061,58059,大阪狭山市,-,15
27232,270062,50912,阪南市,-,19
27301,27300,30703,島本町,-,10
27321,27320,18186,豊能町,-,9
27322,27320,8984,能勢町,-,9
27341,27340,16130,忠岡町,-,18
27361,27360,43518,熊取町,-,19
27362,27360,8330,田尻町,-,19
27366,27360,14650,岬町,-,19
27381,27380,12898,太子町,-,15
27382,27380,15556,河南町,-,15
27383,27380,4894,千早赤阪村,-,15
