pre_gappei_code,old_mun_name,code,gun_code,pop,mun_name,lh_2022
34101,NA,34101,340001,138774,広島市中区,1
34102,NA,34102,340002,117613,広島市東区,1
34103,NA,34103,340003,143871,広島市南区,1
34104,NA,34104,340004,186750,広島市西区,2
34105,NA,34105,340005,245021,広島市安佐南区,3
34106,NA,34106,340006,137114,広島市安佐北区,3
34107,NA,34107,340007,75638,広島市安芸区,3
34108,NA,34108,340008,138473,広島市佐伯区,2
34202,NA,34202,340009,211570,呉市,4
34203,NA,34203,340010,23765,竹原市,4
34204,旧三原市,34204,340011,69373,三原市,5
34407,旧大和町,34204,340012,4959,三原市,5
34421,旧本郷町,34204,340013,10193,三原市,5
34442,旧久井町,34204,340014,3917,三原市,5
34205,旧尾道市,34205,340015,81199,尾道市,5
34206,旧因島市,34205,340016,20790,尾道市,5
34430,旧瀬戸田町,34205,340017,7216,尾道市,5
34441,旧御調町,34205,340018,6345,尾道市,5
34444,旧向島町,34205,340019,12902,尾道市,5
34207,NA,34207,340020,452699,福山市,6
34208,NA,34208,340021,37093,府中市,5
34209,NA,34209,340022,50053,三次市,5
34210,NA,34210,340023,33233,庄原市,5
34211,NA,34211,340024,25999,大竹市,2
34212,旧東広島市,34212,340025,147318,東広島市,4
34402,旧黒瀬町,34212,340026,23221,東広島市,4
34405,旧福富町,34212,340027,2218,東広島市,4
34406,旧豊栄町,34212,340028,2866,東広島市,4
34408,旧河内町,34212,340029,5592,東広島市,4
34422,旧安芸津町,34212,340030,8768,東広島市,4
34213,NA,34213,340031,112929,廿日市市,2
34214,NA,34214,340032,25752,安芸高田市,3
34310,旧江田島町,34215,340033,8337,江田島市,4
34328,旧能美町,34215,340034,4439,江田島市,4
34329,旧沖美町,34215,340035,2550,江田島市,4
34330,旧大柿町,34215,340036,6020,江田島市,4
34302,NA,34302,34300,50540,府中町,1
34304,NA,34304,34300,28805,海田町,1
34307,NA,34307,34300,22634,熊野町,4
34309,NA,34309,34300,12400,坂町,1
34368,NA,34368,34360,5698,安芸太田町,3
34369,NA,34369,34360,17278,北広島町,3
34431,NA,34431,34420,7012,大崎上島町,4
34462,NA,34462,34460,14870,世羅町,5
34545,NA,34545,34540,8162,神石高原町,5
