pre_gappei_code,old_mun_name,code,gun_code,pop,mun_name,lh_2022
33101,-,33101,330001,308216,岡山市北区,1
33102,-,33102,330002,147160,岡山市中区,2
33103,-,33103,330003,91688,岡山市東区,2
33104,-,33104,330004,165783,岡山市南区,2
33202,旧倉敷市,33202,330005,442768,倉敷市,4
33441,旧船穂町,33202,330006,7852,倉敷市,4
33503,旧真備町,33202,330007,19610,倉敷市,4
33203,-,33203,330008,99105,津山市,3
33204,-,33204,330009,55916,玉野市,2
33205,-,33205,330010,45598,笠岡市,3
33207,-,33207,330011,37872,井原市,3
33208,-,33208,330012,67437,総社市,3
33209,-,33209,330013,28172,高梁市,3
33210,-,33210,330014,27808,新見市,3
33211,-,33211,330015,31772,備前市,1
33212,-,33212,330016,35628,瀬戸内市,2
33213,-,33213,330017,42178,赤磐市,1
33522,旧北房町,33214,330018,4602,真庭市,3
33581,旧勝山町,33214,330019,6633,真庭市,3
33582,旧落合町,33214,330020,13089,真庭市,3
33583,旧湯原町,33214,330021,2302,真庭市,3
33584,旧久世町,33214,330022,10106,真庭市,3
33585,旧美甘村,33214,330023,1044,真庭市,3
33587,旧川上村,33214,330024,1760,真庭市,3
33588,旧八束村,33214,330025,2374,真庭市,3
33589,旧中和村,33214,330026,524,真庭市,3
33215,-,33215,330027,25559,美作市,3
33216,-,33216,330028,32547,浅口市,3
33346,-,33346,33340,13375,和気町,1
33423,-,33423,33420,12301,早島町,4
33445,-,33445,33440,10795,里庄町,3
33461,-,33461,33460,13046,矢掛町,3
33586,-,33586,33580,802,新庄村,3
33606,-,33606,33600,11978,鏡野町,3
33622,-,33622,33620,10842,勝央町,3
33623,-,33623,33620,5552,奈義町,3
33643,-,33643,33640,1392,西粟倉村,3
33663,-,33663,33660,4493,久米南町,3
33666,-,33666,33660,12978,美咲町,3
33305,旧加茂川町,33681,33680,4268,吉備中央町,1
33523,旧賀陽町,33681,33680,6390,吉備中央町,1
