pre_gappei_code,old_mun_name,code,gun_code,pop,mun_name,lh_2022
38201,旧松山市,38201,380001,479325,松山市,1
38211,旧北条市,38201,380002,25880,松山市,1
38363,旧中島町,38201,380003,3315,松山市,1
38202,-,38202,380004,148629,今治市,2
38203,-,38203,380005,70444,宇和島市,3
38204,-,38204,380006,31777,八幡浜市,3
38205,-,38205,380007,114732,新居浜市,2
38206,-,38206,380008,103492,西条市,2
38207,-,38207,380009,40406,大洲市,3
38210,-,38210,380010,34922,伊予市,3
38213,-,38213,380011,82035,四国中央市,2
38214,-,38214,380012,35114,西予市,3
38215,-,38215,380013,33735,東温市,3
38356,-,38356,38340,6203,上島町,2
38386,-,38386,38380,7370,久万高原町,3
38401,-,38401,38400,29489,松前町,3
38402,-,38402,38400,20407,砥部町,3
38422,-,38422,38420,15269,内子町,3
38442,-,38442,38440,8330,伊方町,3
38484,-,38484,38480,3656,松野町,3
38488,-,38488,38480,9596,鬼北町,3
38506,-,38506,38500,19556,愛南町,3
