pre_gappei_code,old_mun_name,code,gun_code,pop,mun_name,lh_2022
7201,-,7201,70001,280921,福島市,1
7202,-,7202,70002,116638,会津若松市,3
7203,-,7203,70003,325131,郡山市,2
7204,-,7204,70004,330492,いわき市,4
7205,-,7205,70005,58917,白河市,3
7207,-,7207,70006,74617,須賀川市,2
7208,-,7208,70007,44544,喜多方市,3
7209,-,7209,70008,34687,相馬市,4
7210,-,7210,70009,53213,二本松市,1
7211,-,7211,70010,34858,田村市,2
7212,-,7212,70011,58602,南相馬市,4
7213,-,7213,70012,57839,伊達市,1
7214,-,7214,70013,30050,本宮市,1
7301,-,7301,7300,11424,桑折町,1
7303,-,7303,7300,8580,国見町,1
7308,-,7308,7300,12065,川俣町,1
7322,-,7322,7320,8853,大玉村,1
7342,-,7342,7340,12268,鏡石町,2
7344,-,7344,7340,5138,天栄村,2
7362,-,7362,7360,5249,下郷町,3
7364,-,7364,7360,504,檜枝岐村,3
7367,-,7367,7360,4014,只見町,3
7368,-,7368,7360,14383,南会津町,3
7402,-,7402,7400,2521,北塩原村,3
7405,-,7405,7400,5732,西会津町,3
7407,-,7407,7400,3313,磐梯町,3
7408,-,7408,7400,13488,猪苗代町,3
7421,-,7421,7420,14941,会津坂下町,3
7422,-,7422,7420,3073,湯川村,3
7423,-,7423,7420,3074,柳津町,3
7444,-,7444,7440,1444,三島町,3
7445,-,7445,7440,1851,金山町,3
7446,-,7446,7440,1242,昭和村,3
7447,-,7447,7440,18976,会津美里町,3
7461,-,7461,7460,20565,西郷村,3
7464,-,7464,7460,6095,泉崎村,3
7465,-,7465,7460,4850,中島村,3
7466,-,7466,7460,17124,矢吹町,3
7481,-,7481,7480,13272,棚倉町,3
7482,-,7482,7480,5369,矢祭町,3
7483,-,7483,7480,8215,塙町,3
7484,-,7484,7480,3031,鮫川村,3
7501,-,7501,7500,14536,石川町,2
7502,-,7502,7500,6321,玉川村,2
7503,-,7503,7500,5706,平田村,2
7504,-,7504,7500,6013,浅川町,2
7505,-,7505,7500,4767,古殿町,2
7521,-,7521,7520,16960,三春町,2
7522,-,7522,7520,9329,小野町,2
7541,-,7541,7540,5337,広野町,4
7542,-,7542,7540,3688,楢葉町,4
7543,-,7543,7540,2118,富岡町,4
7544,-,7544,7540,2012,川内村,4
7545,-,7545,7540,846,大熊町,4
7546,-,7546,7540,0,双葉町,4
7547,-,7547,7540,1918,浪江町,4
7548,-,7548,7540,416,葛尾村,4
7561,-,7561,7560,7855,新地町,4
7564,-,7564,7560,1299,飯舘村,4
