pre_gappei_code,old_mun_name,code,gun_code,pop,mun_name,lh_2022
42201,旧長崎市,42201,420001,372812,長崎市,1
42301,旧香焼町,42201,420002,3215,長崎市,1
42302,旧伊王島町,42201,420003,618,長崎市,1
42303,旧高島町,42201,420004,326,長崎市,1
42304,旧野母崎町,42201,420005,4584,長崎市,1
42305,旧三和町,42201,420006,10000,長崎市,1
42309,旧琴海町,42201,420007,11518,長崎市,1
42315,旧外海町,42201,420008,3443,長崎市,1
42202,旧佐世保市,42202,420009,216406,佐世保市,3
42384,旧宇久町,42202,420010,1901,佐世保市,3
42388,旧江迎町,42202,420011,5028,佐世保市,3
42389,旧鹿町町,42202,420012,4313,佐世保市,3
42390,旧小佐々町,42202,420013,5826,佐世保市,3
42392,旧吉井町,42202,420014,5076,佐世保市,3
42393,旧世知原町,42202,420015,3063,佐世保市,3
42203,-,42203,420016,42977,島原市,2
42204,-,42204,420017,132986,諫早市,2
42205,-,42205,420018,95035,大村市,2
42207,-,42207,420019,29211,平戸市,3
42208,-,42208,420020,21038,松浦市,3
42209,-,42209,420021,28352,対馬市,2
42210,-,42210,420022,24869,壱岐市,2
42211,-,42211,420023,34263,五島市,3
42212,-,42212,420024,25817,西海市,3
42213,-,42213,420025,40673,雲仙市,2
42214,-,42214,420026,42071,南島原市,2
42307,-,42307,42300,40618,長与町,2
42308,-,42308,42300,29138,時津町,2
42321,-,42321,42320,7679,東彼杵町,3
42322,-,42322,42320,13279,川棚町,3
42323,-,42323,42320,14262,波佐見町,3
42383,-,42383,42380,2282,小値賀町,3
42391,-,42391,42380,13864,佐々町,3
42411,-,42411,42400,17458,新上五島町,3
