pre_gappei_code,old_mun_name,code,gun_code,pop,mun_name,lh_2022
10201,-,10201,100001,326644,前橋市,1
10202,旧高崎市,10202,100002,247560,高崎市,4
10321,旧榛名町,10202,100003,18395,高崎市,5
10322,旧倉渕村,10202,100004,3045,高崎市,5
10323,旧箕郷町,10202,100005,20455,高崎市,5
10324,旧群馬町,10202,100006,43280,高崎市,5
10361,旧新町,10202,100007,11808,高崎市,4
10363,旧吉井町,10202,100008,23353,高崎市,4
10203,旧桐生市,10203,100009,87479,桐生市,2
10307,旧新里村,10203,100010,15751,桐生市,2
10308,旧黒保根村,10203,100011,1636,桐生市,2
10204,-,10204,100012,199895,伊勢崎市,2
10205,旧太田市,10205,100013,149551,太田市,3
10481,旧尾島町,10205,100014,13454,太田市,3
10482,旧新田町,10205,100015,27927,太田市,3
10483,旧藪塚本町,10205,100016,21091,太田市,3
10206,-,10206,100017,44815,沼田市,1
10207,-,10207,100018,72884,館林市,3
10208,旧渋川市,10208,100019,41169,渋川市,5
10301,旧北橘村,10208,100020,8808,渋川市,5
10302,旧赤城村,10208,100021,9247,渋川市,5
10341,旧子持村,10208,100022,10795,渋川市,5
10342,旧小野上村,10208,100023,1423,渋川市,5
10343,旧伊香保町,10208,100024,2430,渋川市,5
10209,-,10209,100025,62534,藤岡市,4
10210,-,10210,100026,46649,富岡市,5
10211,-,10211,100027,54430,安中市,5
10309,旧東村,10212,100028,1680,みどり市,2
10484,旧笠懸町,10212,100029,29603,みどり市,2
10501,旧大間々町,10212,100030,17681,みどり市,2
10344,-,10344,10340,14058,榛東村,5
10345,-,10345,10340,21644,吉岡町,5
10366,-,10366,10360,1111,上野村,4
10367,-,10367,10360,1634,神流町,4
10382,-,10382,10380,6545,下仁田町,5
10383,-,10383,10380,1606,南牧村,5
10384,-,10384,10380,12337,甘楽町,5
10421,-,10421,10420,15190,中之条町,5
10424,-,10424,10420,5036,長野原町,5
10425,-,10425,10420,8707,嬬恋村,5
10426,-,10426,10420,5826,草津町,5
10428,-,10428,10420,3318,高山村,5
10429,-,10429,10420,12488,東吾妻町,5
10443,-,10443,10440,3951,片品村,1
10444,-,10444,10440,3470,川場村,1
10448,-,10448,10440,6517,昭和村,1
10449,-,10449,10440,16973,みなかみ町,1
10464,-,10464,10460,35220,玉村町,2
10521,-,10521,10520,13826,板倉町,3
10522,-,10522,10520,10641,明和町,3
10523,-,10523,10520,10524,千代田町,3
10524,-,10524,10520,34697,大泉町,3
10525,-,10525,10520,24888,邑楽町,3
