1,平成27年国勢調査　小地域集計　（総務省統計局）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,第3表　年齢（5歳階級），男女別人口，総年齢及び平均年齢(外国人―特掲）－町丁・字等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,1) 日本人・外国人の別「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,2) 無国籍及び国名「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,総数（男女別）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,市区町村コード,町丁字コード,地域識別番号,秘匿処理,秘匿先情報,合算地域,都道府県名,市区町村名,大字・町名,字・丁目名,総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,年齢「不詳」,総年齢,平均年齢,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）外国人 2),総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,年齢「不詳」,総年齢,平均年齢,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）外国人 2),総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,年齢「不詳」,総年齢,平均年齢,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）外国人 2)
17,"15101","0100","2","","","","新潟県","新潟市北区","太夫浜新町","",2338,114,124,107,180,251,134,141,130,153,150,177,164,168,131,64,49,44,14,6,1,-,36,89039,39.1789748045,345,1648,309,114,21,19,1180,58,67,57,95,136,71,65,63,74,80,81,78,87,71,28,24,18,4,2,-,-,21,43715,38.2178602243,182,830,147,48,6,8,1158,56,57,50,85,115,63,76,67,79,70,96,86,81,60,36,25,26,10,4,1,-,15,45324,40.1535433071,163,818,162,66,15,11
18,"15101","010001","3","","","","新潟県","新潟市北区","太夫浜新町","１丁目",1136,50,50,49,87,130,71,67,52,74,70,87,77,85,64,34,23,29,8,4,-,-,25,43981,40.0868586859,149,800,162,64,12,6,563,26,25,29,46,67,37,29,24,36,35,41,35,42,32,18,10,11,4,1,-,-,15,21089,38.9835766423,80,392,76,26,5,3,573,24,25,20,41,63,34,38,28,38,35,46,42,43,32,16,13,18,4,3,-,-,10,22892,41.1607460036,69,408,86,38,7,3
19,"15101","010002","3","","","","新潟県","新潟市北区","太夫浜新町","２丁目",1202,64,74,58,93,121,63,74,78,79,80,90,87,83,67,30,26,15,6,2,1,-,11,45058,38.3320738875,196,848,147,50,9,13,617,32,42,28,49,69,34,36,39,38,45,40,43,45,39,10,14,7,-,1,-,-,6,22626,37.5310965630,102,438,71,22,1,5,585,32,32,30,44,52,29,38,39,41,35,50,44,38,28,20,12,8,6,1,1,-,5,22432,39.1758620690,94,410,76,28,8,8
20,"15101","0110","2","","","","新潟県","新潟市北区","松浜町","",391,-,1,1,1,6,3,6,10,12,26,19,32,49,73,52,42,37,17,4,-,-,-,25164,64.8580562660,2,164,225,100,21,-,182,-,-,1,1,3,1,1,5,7,16,12,17,20,36,27,15,11,6,3,-,-,-,11424,63.2692307692,1,83,98,35,9,-,209,-,1,-,-,3,2,5,5,5,10,7,15,29,37,25,27,26,11,1,-,-,-,13740,66.2416267943,1,81,127,65,12,-
21,"15101","0120","2","","","","新潟県","新潟市北区","松浜東町","",926,27,38,41,70,57,48,37,52,76,78,58,47,64,61,64,42,31,14,5,1,-,15,40451,44.9028540066,106,587,218,93,20,24,491,12,20,24,38,31,31,22,31,41,44,32,27,29,32,30,18,12,5,2,1,-,9,20650,43.3423236515,56,326,100,38,8,10,435,15,18,17,32,26,17,15,21,35,34,26,20,35,29,34,24,19,9,3,-,-,6,19801,46.6561771562,50,261,118,55,12,14
22,"15101","012001","3","","","","新潟県","新潟市北区","松浜東町","１丁目",480,16,21,24,40,31,29,16,38,44,39,27,24,28,25,29,16,17,8,3,1,-,4,20208,42.9537815126,61,316,99,45,12,21,253,9,11,14,21,16,20,9,19,25,24,13,13,14,13,13,7,7,1,1,1,-,2,10182,41.0657370518,34,174,43,17,3,8,227,7,10,10,19,15,9,7,19,19,15,14,11,14,12,16,9,10,7,2,-,-,2,10026,45.0600000000,27,142,56,28,9,13
23,"15101","012002","3","","","","新潟県","新潟市北区","松浜東町","２丁目",446,11,17,17,30,26,19,21,14,32,39,31,23,36,36,35,26,14,6,2,-,-,11,20243,47.0356321839,45,271,119,48,8,3,238,3,9,10,17,15,11,13,12,16,20,19,14,15,19,17,11,5,4,1,-,-,7,10468,45.8160173160,22,152,57,21,5,2,208,8,8,7,13,11,8,8,2,16,19,12,9,21,17,18,15,9,2,1,-,-,4,9775,48.4166666667,23,119,62,27,3,1
24,"15101","0130","2","","","","新潟県","新潟市北区","松浜本町","",1067,29,30,26,44,33,36,44,56,49,59,67,89,92,104,74,68,73,52,24,8,1,9,56657,54.0510396975,85,569,404,226,85,1,500,13,18,13,18,21,21,24,25,25,30,31,52,44,51,34,33,24,15,4,-,-,4,25097,51.0987903226,44,291,161,76,19,-,567,16,12,13,26,12,15,20,31,24,29,36,37,48,53,40,35,49,37,20,8,1,5,31560,56.6565836299,41,278,243,150,66,1
25,"15101","013001","3","","","","新潟県","新潟市北区","松浜本町","１丁目",333,8,6,10,21,9,9,13,11,18,19,22,31,31,23,20,29,30,15,7,1,-,-,17964,54.4459459459,24,184,125,82,23,1,155,4,6,5,7,6,5,7,2,11,7,12,18,15,10,11,14,9,5,1,-,-,-,7950,51.7903225806,15,90,50,29,6,-,178,4,-,5,14,3,4,6,9,7,12,10,13,16,13,9,15,21,10,6,1,-,-,10014,56.7584269663,9,94,75,53,17,1
26,"15101","013002","3","","","","新潟県","新潟市北区","松浜本町","２丁目",207,4,8,2,5,7,7,8,16,8,16,13,20,15,23,14,12,15,9,5,-,-,-,11147,54.3502415459,14,115,78,41,14,-,99,4,4,1,2,6,2,4,9,2,9,6,10,7,12,7,5,6,2,1,-,-,-,4984,50.8434343434,9,57,33,14,3,-,108,-,4,1,3,1,5,4,7,6,7,7,10,8,11,7,7,9,7,4,-,-,-,6163,57.5648148148,5,58,45,27,11,-
