1,平成27年国勢調査　小地域集計　（総務省統計局）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,第3表　年齢（5歳階級），男女別人口，総年齢及び平均年齢(外国人―特掲）－町丁・字等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,1) 日本人・外国人の別「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,2) 無国籍及び国名「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,総数（男女別）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,市区町村コード,町丁字コード,地域識別番号,秘匿処理,秘匿先情報,合算地域,都道府県名,市区町村名,大字・町名,字・丁目名,総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,年齢「不詳」,総年齢,平均年齢,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）外国人 2),総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,年齢「不詳」,総年齢,平均年齢,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）外国人 2),総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,年齢「不詳」,総年齢,平均年齢,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）外国人 2)
1741,"15106","016007","3","","","","新潟県","新潟市南区","大通黄金","７丁目",382,42,47,27,26,7,17,54,54,31,30,14,4,6,4,3,4,2,5,2,1,-,2,11193,29.9552631579,116,243,21,14,8,1,185,22,25,15,9,4,5,25,27,17,16,9,2,3,1,2,1,-,-,-,-,-,2,5089,28.3087431694,62,117,4,1,-,1,197,20,22,12,17,3,12,29,27,14,14,5,2,3,3,1,3,2,5,2,1,-,-,6104,31.4847715736,54,126,17,13,8,-
1742,"15106","016009","3","","","","新潟県","新潟市南区","大通黄金","４丁目",203,-,-,-,-,-,-,-,-,1,1,-,6,13,17,13,29,25,46,38,6,8,-,16518,81.8694581281,-,21,182,152,98,-,75,-,-,-,-,-,-,-,-,1,-,-,5,7,13,6,14,6,16,6,-,1,-,5685,76.3000000000,-,13,62,43,23,-,128,-,-,-,-,-,-,-,-,-,1,-,1,6,4,7,15,19,30,32,6,7,-,10833,85.1328125000,-,8,120,109,75,-
1743,"15106","0170","2","","","","新潟県","新潟市南区","大通西","",301,7,11,11,7,10,17,14,21,19,18,16,39,31,19,15,13,13,12,3,1,-,4,14684,49.9410774411,29,192,76,42,16,-,151,3,6,8,3,6,7,8,11,8,11,9,15,17,12,7,5,4,7,2,-,-,2,7220,48.9563758389,17,95,37,18,9,-,150,4,5,3,4,4,10,6,10,11,7,7,24,14,7,8,8,9,5,1,1,-,2,7464,50.9324324324,12,97,39,24,7,-
1744,"15106","0180","2","","","","新潟県","新潟市南区","大通南","",2427,65,90,96,133,153,147,128,120,110,166,265,298,269,158,72,61,55,24,10,2,1,4,108117,45.1211308296,251,1789,383,153,37,9,1163,35,36,42,69,70,64,73,57,50,71,122,142,146,87,33,23,22,12,4,1,-,4,51915,45.2929249353,113,864,182,62,17,3,1264,30,54,54,64,83,83,55,63,60,95,143,156,123,71,39,38,33,12,6,1,1,-,56202,44.9636075949,138,925,201,91,20,6
1745,"15106","018001","3","","","","新潟県","新潟市南区","大通南","１丁目",747,28,27,29,40,46,39,30,32,38,58,94,75,89,46,17,22,23,6,3,2,-,3,33362,45.3413978495,84,541,119,56,11,4,346,16,8,11,17,20,16,19,15,19,21,45,36,50,22,9,9,5,3,1,1,-,3,15514,45.7303206997,35,258,50,19,5,1,401,12,19,18,23,26,23,11,17,19,37,49,39,39,24,8,13,18,3,2,1,-,-,17848,45.0087281796,49,283,69,37,6,3
1746,"15106","018002","3","","","","新潟県","新潟市南区","大通南","２丁目",575,18,24,24,24,29,39,33,32,21,25,38,79,83,45,19,10,18,10,4,-,-,-,26368,46.3573913043,66,403,106,42,14,-,284,9,11,10,22,12,16,15,17,8,12,16,35,45,28,8,3,9,6,2,-,-,-,13062,46.4929577465,30,198,56,20,8,-,291,9,13,14,2,17,23,18,15,13,13,22,44,38,17,11,7,9,4,2,-,-,-,13306,46.2250859107,36,205,50,22,6,-
1747,"15106","018003","3","","","","新潟県","新潟市南区","大通南","３丁目",492,7,21,22,23,42,35,35,23,24,32,51,62,54,23,13,13,8,3,-,-,-,1,21061,43.3940936864,50,381,60,24,3,4,242,2,8,9,10,23,19,20,13,9,15,21,31,30,14,7,4,4,2,-,-,-,1,10503,44.0809128631,19,191,31,10,2,1,250,5,13,13,13,19,16,15,10,15,17,30,31,24,9,6,9,4,1,-,-,-,-,10558,42.7320000000,31,190,29,14,1,3
1748,"15106","018004","3","","","","新潟県","新潟市南区","大通南","４丁目",490,11,9,8,40,31,27,24,22,14,40,71,74,38,37,18,14,3,5,3,-,1,-,22468,46.3530612245,28,381,81,26,9,1,228,7,5,6,16,12,10,15,6,7,18,34,37,19,19,7,6,2,1,1,-,-,-,10389,46.0657894737,18,174,36,10,2,1,262,4,4,2,24,19,17,9,16,7,22,37,37,19,18,11,8,1,4,2,-,1,-,12079,46.6030534351,10,207,45,16,7,-
1749,"15106","018005","3","","","","新潟県","新潟市南区","大通南","５丁目",123,1,9,13,6,5,7,6,11,13,11,11,8,5,7,5,2,3,-,-,-,-,-,4858,39.9959349593,23,83,17,5,-,-,63,1,4,6,4,3,3,4,6,7,5,6,3,2,4,2,1,2,-,-,-,-,-,2447,39.3412698413,11,43,9,3,-,-,60,-,5,7,2,2,4,2,5,6,6,5,5,3,3,3,1,1,-,-,-,-,-,2411,40.6833333333,12,40,8,2,-,-
1750,"15106","0190","2","","","","新潟県","新潟市南区","沖新保","",99,4,1,3,3,3,2,5,4,6,4,9,9,8,8,7,4,6,10,3,-,-,-,5444,55.4898989899,8,53,38,23,13,-,39,1,-,-,1,1,1,2,2,3,2,4,5,4,5,3,1,1,2,1,-,-,-,2149,55.6025641026,1,25,13,5,3,-,60,3,1,3,2,2,1,3,2,3,2,5,4,4,3,4,3,5,8,2,-,-,-,3295,55.4166666667,7,28,25,18,10,-
1751,"15106","0200","2","","","","新潟県","新潟市南区","上浦","",159,2,7,7,17,3,2,1,8,16,11,14,8,13,16,18,7,4,5,-,-,-,-,7706,48.9654088050,16,93,50,16,5,1,76,1,4,1,9,-,2,1,6,5,6,8,4,7,6,9,3,-,4,-,-,-,-,3694,49.1052631579,6,48,22,7,4,-,83,1,3,6,8,3,-,-,2,11,5,6,4,6,10,9,4,4,1,-,-,-,-,4012,48.8373493976,10,45,28,9,1,1
1752,"15106","0210","2","","","","新潟県","新潟市南区","上木山","",56,1,1,2,1,2,1,3,3,5,2,1,6,9,10,1,2,1,3,2,-,-,-,2987,53.8392857143,4,33,19,8,5,-,31,1,-,2,-,2,1,3,1,3,2,-,4,3,6,-,1,1,-,1,-,-,-,1505,49.0483870968,3,19,9,3,1,-,25,-,1,-,1,-,-,-,2,2,-,1,2,6,4,1,1,-,3,1,-,-,-,1482,59.7800000000,1,14,10,5,4,-
1753,"15106","0220","2","","","","新潟県","新潟市南区","上塩俵","",266,9,6,8,13,15,15,9,13,9,19,21,27,17,16,18,25,15,5,6,-,-,-,13351,50.6917293233,23,158,85,51,11,3,137,7,4,6,9,7,6,5,5,5,10,8,16,11,8,8,11,8,2,1,-,-,-,6506,47.9890510949,17,82,38,22,3,1,129,2,2,2,4,8,9,4,8,4,9,13,11,6,8,10,14,7,3,5,-,-,-,6845,53.5620155039,6,76,47,29,8,2
1754,"15106","0230","2","","","","新潟県","新潟市南区","上新田","",293,12,12,10,17,13,16,21,18,27,23,6,15,17,34,18,13,6,11,4,-,-,-,13403,46.2440273038,34,173,86,34,15,6,147,8,5,5,9,8,7,14,7,18,11,2,5,9,16,8,6,2,4,3,-,-,-,6450,44.3775510204,18,90,39,15,7,6,146,4,7,5,8,5,9,7,11,9,12,4,10,8,18,10,7,4,7,1,-,-,-,6953,48.1232876712,16,83,47,19,8,-
1755,"15106","023001","3","","","","新潟県","新潟市南区","上新田","",77,1,3,1,3,3,5,6,3,6,5,2,4,9,17,1,-,2,4,2,-,-,-,3875,50.8246753247,5,46,26,8,6,-,39,1,2,-,-,2,2,3,3,4,2,1,1,5,8,-,-,1,3,1,-,-,-,1972,51.0641025641,3,23,13,5,4,-,38,-,1,1,3,1,3,3,-,2,3,1,3,4,9,1,-,1,1,1,-,-,-,1903,50.5789473684,2,23,13,3,2,-
1756,"15106","023002","3","","","","新潟県","新潟市南区","上新田","",100,8,3,2,2,9,10,10,11,9,6,1,4,3,8,2,4,3,3,2,-,-,-,4100,41.5000000000,13,65,22,12,5,6,47,5,1,-,-,5,4,8,3,6,3,-,2,1,4,-,2,-,1,2,-,-,-,1863,40.1382978723,6,32,9,5,3,6,53,3,2,2,2,4,6,2,8,3,3,1,2,2,4,2,2,3,2,-,-,-,-,2237,42.7075471698,7,33,13,7,2,-
1757,"15106","023003","3","","","","新潟県","新潟市南区","上新田","",116,3,6,7,12,1,1,5,4,12,12,3,7,5,9,15,9,1,4,-,-,-,-,5428,47.2931034483,16,62,38,14,4,-,61,2,2,5,9,1,1,3,1,8,6,1,2,3,4,8,4,1,-,-,-,-,-,2615,43.3688524590,9,35,17,5,-,-,55,1,4,2,3,-,-,2,3,4,6,2,5,2,5,7,5,-,4,-,-,-,-,2813,51.6454545455,7,27,21,9,4,-
1758,"15106","0240","2","","","","新潟県","新潟市南区","上道潟","",66,-,3,6,4,4,2,1,3,5,2,8,3,3,9,3,4,2,2,2,-,-,-,3178,48.6515151515,9,35,22,10,4,-,31,-,1,4,3,1,1,-,2,3,1,4,1,1,6,-,1,2,-,-,-,-,-,1369,44.6612903226,5,17,9,3,-,-,35,-,2,2,1,3,1,1,1,2,1,4,2,2,3,3,3,-,2,2,-,-,-,1809,52.1857142857,4,18,13,7,4,-
1759,"15106","0250","2","","","","新潟県","新潟市南区","上八枚","",244,7,4,10,14,12,9,9,12,20,17,27,15,15,26,15,10,8,7,5,2,-,-,11948,49.4672131148,21,150,73,32,14,-,117,3,3,3,4,10,5,6,6,9,12,12,8,7,11,7,5,2,2,1,1,-,-,5484,47.3717948718,9,79,29,11,4,-,127,4,1,7,10,2,4,3,6,11,5,15,7,8,15,8,5,6,5,4,1,-,-,6464,51.3976377953,12,71,44,21,10,-
1760,"15106","0260","2","","","","新潟県","新潟市南区","神屋","",99,1,5,5,4,2,3,4,5,9,7,11,7,10,4,4,10,5,2,1,-,-,-,4915,50.1464646465,11,62,26,18,3,-,51,-,5,1,2,1,-,4,2,6,3,5,3,6,1,3,5,3,-,1,-,-,-,2516,49.8333333333,6,32,13,9,1,-,48,1,-,4,2,1,3,-,3,3,4,6,4,4,3,1,5,2,2,-,-,-,-,2399,50.4791666667,5,30,13,9,2,-
1761,"15106","0270","2","","","","新潟県","新潟市南区","北田中","",107,7,4,5,5,4,7,10,4,7,6,6,5,2,12,9,4,8,1,1,-,-,-,4827,45.6121495327,16,56,35,14,2,-,55,2,3,4,3,2,3,5,2,4,3,3,3,-,5,5,1,6,-,1,-,-,-,2475,45.5000000000,9,28,18,8,1,-,52,5,1,1,2,2,4,5,2,3,3,3,2,2,7,4,3,2,1,-,-,-,-,2352,45.7307692308,7,28,17,6,1,-
1762,"15106","0280","2","","","","新潟県","新潟市南区","櫛笥","",136,2,9,9,4,2,3,5,12,9,11,10,1,14,12,10,11,3,7,2,-,-,-,6748,50.1176470588,20,71,45,23,9,-,61,-,4,3,2,1,1,2,5,5,8,6,-,4,7,6,3,1,2,1,-,-,-,3037,50.2868852459,7,34,20,7,3,-,75,2,5,6,2,1,2,3,7,4,3,4,1,10,5,4,8,2,5,1,-,-,-,3711,49.9800000000,13,37,25,16,6,-
1763,"15106","028001","3","","","","新潟県","新潟市南区","櫛笥","",31,-,-,1,-,-,-,-,-,5,1,1,-,5,4,4,5,1,3,1,-,-,-,2018,65.5967741935,1,12,18,10,4,-,16,-,-,-,-,-,-,-,-,3,1,1,-,2,2,4,1,-,1,1,-,-,-,1038,65.3750000000,-,7,9,3,2,-,15,-,-,1,-,-,-,-,-,2,-,-,-,3,2,-,4,1,2,-,-,-,-,980,65.8333333333,1,5,9,7,2,-
1764,"15106","028002","3","","","","新潟県","新潟市南区","櫛笥","",105,2,9,8,4,2,3,5,12,4,10,9,1,9,8,6,6,2,4,1,-,-,-,4730,45.5476190476,19,59,27,13,5,-,45,-,4,3,2,1,1,2,5,2,7,5,-,2,5,2,2,1,1,-,-,-,-,1999,44.9222222222,7,27,11,4,1,-,60,2,5,5,2,1,2,3,7,2,3,4,1,7,3,4,4,1,3,1,-,-,-,2731,46.0166666667,12,32,16,9,4,-
1765,"15106","0290","2","","","","新潟県","新潟市南区","蜘手興野","",51,1,2,1,5,2,1,1,1,3,5,3,3,5,5,3,5,3,2,-,-,-,-,2605,51.5784313725,4,29,18,10,2,-,23,-,-,1,2,-,1,1,-,2,3,1,1,3,3,2,2,1,-,-,-,-,-,1199,52.6304347826,1,14,8,3,-,-,28,1,2,-,3,2,-,-,1,1,2,2,2,2,2,1,3,2,2,-,-,-,-,1406,50.7142857143,3,15,10,7,2,-
1766,"15106","0300","2","","","","新潟県","新潟市南区","小坂","",58,-,2,-,3,2,2,1,1,4,6,4,7,8,4,2,4,2,3,2,-,1,-,3213,55.8965517241,2,38,18,12,6,-,28,-,1,-,2,2,1,1,-,1,4,2,2,5,2,1,2,-,1,-,-,1,-,1449,52.2500000000,1,20,7,4,2,-,30,-,1,-,1,-,1,-,1,3,2,2,5,3,2,1,2,2,2,2,-,-,-,1764,59.3000000000,1,18,11,8,4,-
1767,"15106","0310","2","","","","新潟県","新潟市南区","小蔵子","",300,5,10,10,19,19,16,8,19,13,28,21,21,28,23,14,14,17,10,5,-,-,-,14603,49.1766666667,25,192,83,46,15,-,146,2,1,7,11,11,10,4,10,7,16,11,11,14,12,4,4,6,5,-,-,-,-,6776,46.9109589041,10,105,31,15,5,-,154,3,9,3,8,8,6,4,9,6,12,10,10,14,11,10,10,11,5,5,-,-,-,7827,51.3246753247,15,87,52,31,10,-
1768,"15106","031001","3","","","","新潟県","新潟市南区","小蔵子","",285,5,10,10,19,19,14,8,19,13,26,20,17,24,23,14,14,16,9,5,-,-,-,13749,48.7421052632,25,179,81,44,14,-,137,2,1,7,11,11,8,4,10,7,15,10,9,12,12,4,4,6,4,-,-,-,-,6288,46.3978102190,10,97,30,14,4,-,148,3,9,3,8,8,6,4,9,6,11,10,8,12,11,10,10,10,5,5,-,-,-,7461,50.9121621622,15,82,51,30,10,-
1769,"15106","031002","3","","","","新潟県","新潟市南区","小蔵子","",15,-,-,-,-,-,2,-,-,-,2,1,4,4,-,-,-,1,1,-,-,-,-,854,57.4333333333,-,13,2,2,1,-,9,-,-,-,-,-,2,-,-,-,1,1,2,2,-,-,-,-,1,-,-,-,-,488,54.7222222222,-,8,1,1,1,-,6,-,-,-,-,-,-,-,-,-,1,-,2,2,-,-,-,1,-,-,-,-,-,366,61.5000000000,-,5,1,1,-,-
1770,"15106","0320","2","","","","新潟県","新潟市南区","七軒","",509,30,31,20,21,11,29,46,44,38,19,29,34,51,41,21,17,13,9,3,1,-,1,21908,43.6259842520,81,322,105,43,13,-,251,13,18,11,13,6,13,27,19,19,7,15,21,19,24,12,7,4,-,1,1,-,1,10389,42.0560000000,42,159,49,13,2,-,258,17,13,9,8,5,16,19,25,19,12,14,13,32,17,9,10,9,9,2,-,-,-,11519,45.1472868217,39,163,56,30,11,-
1771,"15106","032001","3","","","","新潟県","新潟市南区","七軒","",322,29,23,11,8,3,24,38,32,25,9,15,20,32,24,8,7,8,4,1,-,-,1,12826,40.4563862928,63,206,52,20,5,-,158,13,13,6,5,1,12,22,12,13,4,7,14,12,12,5,3,2,-,1,-,-,1,6090,39.2898089172,32,102,23,6,1,-,164,16,10,5,3,2,12,16,20,12,5,8,6,20,12,3,4,6,4,-,-,-,-,6736,41.5731707317,31,104,29,14,4,-
1772,"15106","032002","3","","","","新潟県","新潟市南区","七軒","",117,1,2,6,9,5,2,3,9,8,4,9,6,12,11,10,9,4,4,2,1,-,-,6025,51.9957264957,9,67,41,20,7,-,59,-,2,4,6,3,-,2,6,4,1,6,3,3,8,5,3,2,-,-,1,-,-,2779,47.6016949153,6,34,19,6,1,-,58,1,-,2,3,2,2,1,3,4,3,3,3,9,3,5,6,2,4,2,-,-,-,3246,56.4655172414,3,33,22,14,6,-
1773,"15106","032003","3","","","","新潟県","新潟市南区","七軒","",70,-,6,3,4,3,3,5,3,5,6,5,8,7,6,3,1,1,1,-,-,-,-,3057,44.1714285714,9,49,12,3,1,-,34,-,3,1,2,2,1,3,1,2,2,2,4,4,4,2,1,-,-,-,-,-,-,1520,45.2058823529,4,23,7,1,-,-,36,-,3,2,2,1,2,2,2,3,4,3,4,3,2,1,-,1,1,-,-,-,-,1537,43.1944444444,5,26,5,2,1,-
1774,"15106","0330","2","","","","新潟県","新潟市南区","七軒町","",230,9,5,7,13,10,13,14,9,8,19,18,13,14,17,14,17,15,9,3,1,-,2,11335,50.2149122807,21,131,76,45,13,-,109,4,2,1,8,4,8,8,5,4,11,9,7,4,10,7,5,5,4,-,1,-,2,5146,48.5934579439,7,68,32,15,5,-,121,5,3,6,5,6,5,6,4,4,8,9,6,10,7,7,12,10,5,3,-,-,-,6189,51.6487603306,14,63,44,30,8,-
1775,"15106","0340","2","","","","新潟県","新潟市南区","清水","",255,15,8,17,7,14,14,15,18,13,10,18,20,27,16,13,10,8,8,2,2,-,-,11459,45.4372549020,40,156,59,30,12,-,121,8,4,8,6,4,7,7,8,8,6,6,10,14,9,6,2,2,5,1,-,-,-,5255,43.9297520661,20,76,25,10,6,-,134,7,4,9,1,10,7,8,10,5,4,12,10,13,7,7,8,6,3,1,2,-,-,6204,46.7985074627,20,80,34,20,6,-
1776,"15106","0350","2","","","","新潟県","新潟市南区","下木山","",300,14,9,11,8,21,22,22,22,21,15,23,27,26,17,8,10,16,5,2,1,-,-,13376,45.0866666667,34,207,59,34,8,-,156,9,4,6,5,10,13,14,13,12,5,12,15,13,8,4,5,7,1,-,-,-,-,6586,42.7179487179,19,112,25,13,1,-,144,5,5,5,3,11,9,8,9,9,10,11,12,13,9,4,5,9,4,2,1,-,-,6790,47.6527777778,15,95,34,21,7,-
1777,"15106","0360","2","","","","新潟県","新潟市南区","下塩俵","",307,17,7,13,11,8,12,30,20,21,17,13,26,28,26,10,15,17,12,2,2,-,-,14622,48.1286644951,37,186,84,48,16,-,152,8,2,10,6,5,6,16,11,11,9,7,10,16,16,6,7,3,2,-,1,-,-,6807,45.2828947368,20,97,35,13,3,-,155,9,5,3,5,3,6,14,9,10,8,6,16,12,10,4,8,14,10,2,1,-,-,7815,50.9193548387,17,89,49,35,13,-
1778,"15106","0370","2","","","","新潟県","新潟市南区","下道潟","",92,1,5,3,1,2,6,9,7,-,3,8,6,14,3,3,4,7,5,5,-,-,-,4804,52.7173913043,9,56,27,21,10,-,42,1,3,1,1,1,3,4,3,-,1,4,2,9,2,1,1,3,-,2,-,-,-,2031,48.8571428571,5,28,9,6,2,-,50,-,2,2,-,1,3,5,4,-,2,4,4,5,1,2,3,4,5,3,-,-,-,2773,55.9600000000,4,28,18,15,8,-
1779,"15106","0380","2","","","","新潟県","新潟市南区","下八枚","",166,3,8,8,7,6,7,7,10,11,4,10,13,14,20,6,7,11,12,2,-,-,-,8406,51.1385542169,19,89,58,32,14,-,81,3,2,3,4,4,5,3,6,5,1,3,7,8,10,4,3,5,4,1,-,-,-,4003,49.9197530864,8,46,27,13,5,-,85,-,6,5,3,2,2,4,4,6,3,7,6,6,10,2,4,6,8,1,-,-,-,4403,52.3000000000,11,43,31,19,9,-
1780,"15106","0390","2","","","","新潟県","新潟市南区","下山崎","",108,1,7,7,4,3,5,4,7,11,4,4,10,6,10,4,6,8,5,1,1,-,-,5280,49.3888888889,15,58,35,21,7,-,54,-,4,4,2,1,2,1,4,7,3,2,5,3,5,3,2,3,3,-,-,-,-,2570,48.0925925926,8,30,16,8,3,-,54,1,3,3,2,2,3,3,3,4,1,2,5,3,5,1,4,5,2,1,1,-,-,2710,50.6851851852,7,28,19,13,4,-
1781,"15106","0400","2","","","","新潟県","新潟市南区","十五間","",187,6,1,6,5,15,12,7,15,6,13,16,18,15,11,17,8,8,5,1,2,-,-,9195,49.6711229947,13,122,52,24,8,-,90,4,1,2,1,8,6,6,9,2,6,7,9,9,5,8,2,2,2,1,-,-,-,4212,47.3000000000,7,63,20,7,3,-,97,2,-,4,4,7,6,1,6,4,7,9,9,6,6,9,6,6,3,-,2,-,-,4983,51.8711340206,6,59,32,17,5,-
1782,"15106","0410","2","","","","新潟県","新潟市南区","十二道島","",81,-,4,1,2,4,4,4,9,1,4,5,6,8,6,5,12,2,2,1,1,-,-,4275,53.2777777778,5,47,29,18,4,-,42,-,1,1,2,2,2,2,6,1,2,2,3,3,4,3,6,1,-,-,1,-,-,2163,52.0000000000,2,25,15,8,1,-,39,-,3,-,-,2,2,2,3,-,2,3,3,5,2,2,6,1,2,1,-,-,-,2112,54.6538461538,3,22,14,10,3,-
1783,"15106","0420","2","","","","新潟県","新潟市南区","上下諏訪木","",1849,69,61,101,91,73,90,100,122,135,118,116,113,95,132,114,100,68,76,44,15,1,15,87087,47.9847328244,231,1053,550,304,136,6,927,37,34,52,52,26,48,58,71,71,62,58,61,49,67,54,53,24,25,14,3,-,8,41721,45.8982589771,123,556,240,119,42,3,922,32,27,49,39,47,42,42,51,64,56,58,52,46,65,60,47,44,51,30,12,1,7,45366,50.0803278689,108,497,310,185,94,3
1784,"15106","042001","3","","","","新潟県","新潟市南区","上下諏訪木","",42,1,-,-,4,-,-,2,5,2,2,4,2,3,4,1,2,3,3,2,1,-,1,2286,56.2560975610,1,24,16,11,6,-,21,1,-,-,3,-,-,2,1,1,1,2,2,1,2,-,1,1,-,2,-,-,1,1006,50.8000000000,1,13,6,4,2,-,21,-,-,-,1,-,-,-,4,1,1,2,-,2,2,1,1,2,3,-,1,-,-,1280,61.4523809524,-,11,10,7,4,-
1785,"15106","042002","3","合算地域あり","","042005;042006","新潟県","新潟市南区","上下諏訪木","",57,-,3,3,2,2,-,3,3,3,5,3,4,6,4,5,6,1,2,1,1,-,-,2997,53.0789473684,6,31,20,11,4,-,28,-,3,-,1,1,-,3,3,1,2,1,3,2,3,2,2,1,-,-,-,-,-,1345,48.5357142857,3,17,8,3,-,-,29,-,-,3,1,1,-,-,-,2,3,2,1,4,1,3,4,-,2,1,1,-,-,1652,57.4655172414,3,14,12,8,4,-
1786,"15106","042003","3","合算地域あり","","042004","新潟県","新潟市南区","上下諏訪木","",56,-,1,6,2,-,1,1,3,3,2,4,5,1,8,8,8,1,2,-,-,-,-,3050,54.9642857143,7,22,27,11,2,-,27,-,1,2,1,-,-,1,1,3,1,1,3,1,3,5,3,-,1,-,-,-,-,1463,54.6851851852,3,12,12,4,1,-,29,-,-,4,1,-,1,-,2,-,1,3,2,-,5,3,5,1,1,-,-,-,-,1587,55.2241379310,4,10,15,7,1,-
1787,"15106","042004","3","秘匿地域","042003","","新潟県","新潟市南区","上下諏訪木","",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1788,"15106","042005","3","秘匿地域","042002","","新潟県","新潟市南区","上下諏訪木","",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1789,"15106","042006","3","秘匿地域","042002","","新潟県","新潟市南区","上下諏訪木","",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1790,"15106","042007","3","","","","新潟県","新潟市南区","上下諏訪木","",68,1,1,5,4,-,1,8,2,4,4,5,4,2,5,6,7,3,3,2,-,1,-,3532,52.4411764706,7,34,27,16,6,-,27,-,-,2,3,-,-,4,1,1,2,1,2,-,2,3,3,1,2,-,-,-,-,1361,50.9074074074,2,14,11,6,2,-,41,1,1,3,1,-,1,4,1,3,2,4,2,2,3,3,4,2,1,2,-,1,-,2171,53.4512195122,5,20,16,10,4,-
1791,"15106","042008","3","","","","新潟県","新潟市南区","上下諏訪木","",52,3,1,-,-,-,2,3,2,1,2,5,3,2,5,6,6,9,1,1,-,-,-,3080,59.7307692308,4,20,28,17,2,-,27,2,-,-,-,-,1,1,2,1,1,2,3,1,3,3,2,4,1,-,-,-,-,1552,57.9814814815,2,12,13,7,1,-,25,1,1,-,-,-,1,2,-,-,1,3,-,1,2,3,4,5,-,1,-,-,-,1528,61.6200000000,2,8,15,10,1,-
1792,"15106","042009","3","","","","新潟県","新潟市南区","上下諏訪木","",34,1,1,-,-,2,4,1,1,2,3,1,5,4,3,2,1,-,-,2,1,-,-,1736,51.5588235294,2,23,9,4,3,-,18,1,1,-,-,-,3,1,-,2,1,-,2,3,1,1,-,-,-,1,1,-,-,873,49.0000000000,2,12,4,2,2,-,16,-,-,-,-,2,1,-,1,-,2,1,3,1,2,1,1,-,-,1,-,-,-,863,54.4375000000,-,11,5,2,1,-
1793,"15106","042010","3","","","","新潟県","新潟市南区","上下諏訪木","",34,1,-,2,1,-,3,2,2,1,1,2,5,4,3,3,2,-,2,-,-,-,-,1730,51.3823529412,3,21,10,4,2,1,15,1,-,-,-,-,2,-,2,-,1,1,2,2,1,2,-,-,1,-,-,-,-,758,51.0333333333,1,10,4,1,1,1,19,-,-,2,1,-,1,2,-,1,-,1,3,2,2,1,2,-,1,-,-,-,-,972,51.6578947368,2,11,6,3,1,-
