draw,district,total_pop,chain,plan_dev,comp_edge,comp_polsby,nv_ldp,nv_komei,nv_ruling,nv_cdp,nv_opp_coalition_4,nv_opp_coalition_5,nv_opp_all,ldp_share,komei_share,ruling_share,ldp_v_komei,ldp_v_cdp,ruling_v_cdp,ruling_v_opp_coalition_4,ruling_v_opp_coalition_5,ruling_v_opp_all,seats_ldp_v_cdp,seats_ruling_v_cdp,seats_ruling_v_opp_coalition_4,seats_ruling_v_opp_coalition_5,seats_ruling_v_opp_all,egap_ldp_v_cdp,egap_ruling_v_cdp,egap_ruling_v_opp_coalition_4,egap_ruling_v_opp_coalition_5,egap_ruling_v_opp_all,pbias_ldp_v_cdp,pbias_ruling_v_cdp,pbias_ruling_v_opp_coalition_4,pbias_ruling_v_opp_coalition_5,pbias_ruling_v_opp_all,mun_split,gun_split,koiki_split,max_to_min
12182,2,435727, 3,0.09918,0.9196,0.002493, 77557,23849,101406,20636,38831,49077,62167,0.4510,0.1387,0.5897,0.7649,0.7899,0.8310,0.7231,0.6739,0.6200,3,3,3,3,3,0.03672,0.1318,-0.09679,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,1,0,1,1.218
12182,3,391555, 3,0.09918,0.9196,0.049241, 51091,21572, 72664,20431,39927,53246,66678,0.3491,0.1474,0.4965,0.7031,0.7144,0.7806,0.6454,0.5771,0.5215,3,3,3,3,3,0.03672,0.1318,-0.09679,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,1,0,1,1.218
12183,1,351283, 3,0.19183,0.9286,0.003253, 61808,18908, 80716,16042,30459,38618,48990,0.4529,0.1385,0.5914,0.7658,0.7940,0.8343,0.7261,0.6764,0.6223,3,3,3,3,3,0.03672,0.1318,-0.09679,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.453
12183,2,442183, 3,0.19183,0.9286,0.008490, 81325,25258,106583,21367,39125,48760,61323,0.4612,0.1432,0.6044,0.7630,0.7920,0.8330,0.7315,0.6861,0.6348,3,3,3,3,3,0.03672,0.1318,-0.09679,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.453
12183,3,510535, 3,0.19183,0.9286,0.008595, 70694,27724, 98418,27065,51939,69142,86755,0.3638,0.1427,0.5065,0.7183,0.7232,0.7843,0.6546,0.5874,0.5315,3,3,3,3,3,0.03672,0.1318,-0.09679,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.453
12185,1,476719, 3,0.21037,0.9286,0.008256, 85178,26470,111648,23408,42765,54198,68223,0.4511,0.1402,0.5913,0.7629,0.7845,0.8267,0.7231,0.6732,0.6207,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,2,1.410
12185,2,484054, 3,0.21037,0.9286,0.004074, 70305,27510, 97816,25701,49362,65142,81395,0.3740,0.1464,0.5204,0.7188,0.7323,0.7920,0.6646,0.6003,0.5458,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,2,1.410
12185,3,343228, 3,0.21037,0.9286,0.006262, 58343,17911, 76254,15366,29396,37181,47450,0.4476,0.1374,0.5850,0.7652,0.7916,0.8323,0.7218,0.6723,0.6164,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,2,1.410
12186,1,507092, 3,0.16662,0.9286,0.008460, 70244,27534, 97779,26886,51588,68674,86169,0.3639,0.1426,0.5065,0.7184,0.7232,0.7844,0.6546,0.5874,0.5316,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,1,0,1,1.300
12186,2,406963, 3,0.16662,0.9286,0.008719, 74983,23187, 98170,19381,35727,44503,55980,0.4632,0.1432,0.6064,0.7638,0.7946,0.8351,0.7332,0.6881,0.6369,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,1,0,1,1.300
12186,3,389946, 3,0.16662,0.9286,0.003278, 68599,21170, 89769,18208,34207,43344,54920,0.4507,0.1391,0.5898,0.7642,0.7903,0.8314,0.7241,0.6744,0.6204,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,1,0,1,1.300
12194,1,406963, 3,0.09572,0.9375,0.008719, 74983,23187, 98170,19381,35727,44503,55980,0.4632,0.1432,0.6064,0.7638,0.7946,0.8351,0.7332,0.6881,0.6369,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,0,1.170
12194,2,420766, 3,0.09572,0.9375,0.002554, 75605,23025, 98629,19856,37305,47043,59619,0.4544,0.1384,0.5928,0.7666,0.7921,0.8325,0.7256,0.6771,0.6233,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,0,1.170
12194,3,476272, 3,0.09572,0.9375,0.028660, 63239,25679, 88918,25238,48491,64974,81470,0.3535,0.1436,0.4971,0.7112,0.7148,0.7789,0.6471,0.5778,0.5219,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,0,1.170
12195,1,476719, 3,0.17020,0.9196,0.008256, 85178,26470,111648,23408,42765,54198,68223,0.4511,0.1402,0.5913,0.7629,0.7845,0.8267,0.7231,0.6732,0.6207,3,3,3,3,3,0.03672,0.1318,-0.09679,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,2,1.322
12195,2,466596, 3,0.17020,0.9196,0.006605, 65923,25948, 91871,24468,47552,62833,78564,0.3686,0.1451,0.5137,0.7176,0.7293,0.7897,0.6589,0.5938,0.5390,3,3,3,3,3,0.03672,0.1318,-0.09679,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,2,1.322
12195,3,360686, 3,0.17020,0.9196,0.003905, 62725,19473, 82198,16598,31206,39490,50280,0.4497,0.1396,0.5894,0.7632,0.7908,0.8321,0.7249,0.6755,0.6205,3,3,3,3,3,0.03672,0.1318,-0.09679,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,2,1.322
12200,1,406963, 3,0.21471,0.9286,0.008719, 74983,23187, 98170,19381,35727,44503,55980,0.4632,0.1432,0.6064,0.7638,0.7946,0.8351,0.7332,0.6881,0.6369,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.431
12200,2,369045, 3,0.21471,0.9286,0.004854, 63768,19418, 83185,16796,32047,40567,51503,0.4497,0.1369,0.5867,0.7666,0.7916,0.8321,0.7219,0.6722,0.6176,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.431
12200,3,527993, 3,0.21471,0.9286,0.004768, 75076,29286,104362,28298,53749,71451,89586,0.3690,0.1439,0.5130,0.7194,0.7263,0.7867,0.6601,0.5936,0.5381,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.431
12201,1,385546, 3,0.11301,0.9286,0.002525, 69263,20953, 90216,17870,33907,42786,54276,0.4559,0.1379,0.5939,0.7678,0.7950,0.8347,0.7269,0.6783,0.6244,3,3,3,3,3,0.03672,0.1318,-0.09678,-0.2078,-0.3164,-0.1667,-0.1667,-0.1667,-0.1667,-0.1667,0,0,1,1.235
