code,mun_name,district,pop
40101,北九州市門司区,4,93144
40103,北九州市若松区,5,79445
40105,北九州市戸畑区,4,56830
40106,北九州市小倉北区,4,179808
40107,北九州市小倉南区,7,207597
40108,北九州市八幡東区,4,64091
40109,北九州市八幡西区,5,247299
40131,福岡市東区,3,312930
40132,福岡市博多区,2,245102
40133,福岡市中央区,6,201659
40134,福岡市南区（旧2区）,6,217000
40134,福岡市南区（旧5区）,10,43154
40135,福岡市西区,11,209979
40136,福岡市城南区,10,131709
40137,福岡市早良区,11,218955
40202,大牟田市,1,110619
40203,久留米市,8,300421
40204,直方市,9,55646
40205,飯塚市,9,125153
40206,田川市,7,45802
40207,柳川市,1,63941
40210,八女市,1,60172
40211,筑後市,1,48332
40212,大川市,1,32770
40213,行橋市,7,70869
40214,豊前市,7,24065
40215,中間市,5,40025
40216,小郡市,8,58491
40217,筑紫野市,10,102778
40218,春日市,2,110257
40219,大野城市,2,101302
40220,宗像市,9,96369
40221,太宰府市,10,72719
40223,古賀市,9,58005
40224,福津市,9,66639
40225,うきは市,1,27740
40226,宮若市,9,25936
40227,嘉麻市,8,35215
40228,朝倉市,8,49615
40229,みやま市,1,35601
40230,糸島市,11,97717
40231,那珂川市,10,49827
40340,糟屋郡,3,231258
40380,遠賀郡,5,90523
40400,鞍手郡,9,21846
40420,嘉穂郡,9,12776
40440,朝倉郡,8,31254
40500,三井郡,8,15205
40520,三潴郡,1,13700
40540,八女郡,1,19699
40600,田川郡,7,71427
40620,京都郡,7,55312
40640,築上郡,7,30787
