draw,district,total_pop
257,3,410661
257,4,398803
257,5,388964
257,6,410731
261,1,425885
261,2,402978
261,3,363888
261,4,434604
261,5,379418
261,6,374601
266,1,360516
266,2,407170
266,3,396387
266,4,368281
266,5,414416
266,6,434604
272,1,414416
272,2,389941
272,3,397979
272,4,377745
272,5,366689
272,6,434604
282,1,385143
282,2,374601
282,3,363888
282,4,428829
282,5,394309
282,6,434604
288,1,435011
288,2,434604
288,3,393499
288,4,363888
288,5,379771
288,6,374601
289,1,434604
289,2,417345
289,3,363888
289,4,387475
289,5,419588
289,6,358474
290,1,412042
290,2,412373
290,3,383866
290,4,374601
290,5,392956
290,6,405536
291,1,392086
291,2,402432
291,3,362236
291,4,434604
291,5,414416
291,6,375600
294,1,410754
294,2,363888
294,3,361804
294,4,384145
294,5,426179
294,6,434604
298,1,412042
298,2,412373
298,3,383866
298,4,374601
298,5,363888
298,6,434604
302,1,420403
302,2,364195
302,3,424169
302,4,371390
302,5,366613
302,6,434604
311,1,407064
311,2,434604
311,3,363888
311,4,381509
311,5,374601
311,6,419708
315,1,408245
315,2,414116
315,3,434604
315,4,378126
315,5,377887
315,6,368396
319,1,363888
319,2,374601
319,3,422397
319,4,434604
319,5,407766
319,6,378118
322,1,402978
322,2,374601
322,3,382743
322,4,363888
322,5,422560
322,6,434604
323,1,430683
323,2,408940
323,3,434604
323,4,359114
323,5,384145
323,6,363888
325,1,385492
325,2,357924
325,3,403332
325,4,381763
325,5,418259
325,6,434604
327,1,430771
327,2,374601
327,3,362592
327,4,414918
327,5,363888
327,6,434604
329,1,385143
329,2,374601
329,3,363888
329,4,428829
329,5,394309
329,6,434604
332,1,435406
332,2,401527
332,3,367914
332,4,378035
332,5,363888
332,6,434604
333,1,384145
333,2,361804
333,3,434604
333,4,363888
333,5,411163
333,6,425770
334,1,435011
334,2,434604
334,3,393499
334,4,363888
334,5,379771
334,6,374601
337,1,429014
337,2,363888
337,3,392747
337,4,434604
337,5,386520
337,6,374601
338,1,410754
338,2,363888
338,3,361804
338,4,384145
338,5,426179
338,6,434604
339,1,410754
339,2,363888
339,3,361804
339,4,384145
339,5,426179
339,6,434604
342,1,407721
342,2,360138
342,3,424133
342,4,379331
342,5,375447
342,6,434604
352,1,412042
352,2,412373
352,3,383866
352,4,374601
352,5,363888
352,6,434604
353,1,366700
353,2,400986
353,3,362100
353,4,402568
353,5,414416
353,6,434604
355,1,363888
355,2,435011
355,3,374601
355,4,371858
355,5,401412
355,6,434604
356,1,435011
356,2,434604
356,3,393499
356,4,363888
356,5,379771
356,6,374601
358,1,410754
358,2,363888
358,3,361804
358,4,384145
358,5,426179
358,6,434604
361,1,429014
361,2,363888
361,3,392747
361,4,386520
361,5,374601
361,6,434604
362,1,434604
362,2,405187
362,3,417059
362,4,386035
362,5,374601
362,6,363888
363,1,363888
363,2,374601
363,3,370745
363,4,408522
363,5,429014
363,6,434604
364,1,359750
364,2,395263
364,3,372423
364,4,404918
364,5,414416
364,6,434604
368,1,377416
368,2,368533
368,3,434604
368,4,402059
368,5,363888
368,6,434874
374,1,363888
374,2,435011
374,3,434604
374,4,397880
374,5,375390
374,6,374601
377,1,410754
377,2,363888
377,3,361804
377,4,384145
377,5,426179
377,6,434604
379,1,430771
379,2,374601
379,3,362592
379,4,414918
379,5,363888
379,6,434604
383,1,403332
383,2,409855
383,3,393896
383,4,373180
383,5,366507
383,6,434604
390,1,385143
390,2,374601
390,3,363888
390,4,428829
390,5,394309
390,6,434604
394,1,383096
394,2,363888
394,3,423231
394,4,413702
394,5,362853
394,6,434604
395,1,363888
395,2,360457
395,3,417232
395,4,385492
395,5,419701
395,6,434604
400,1,402978
400,2,374601
400,3,382743
400,4,363888
400,5,422560
400,6,434604
401,1,410754
401,2,363888
401,3,361804
401,4,384145
401,5,426179
401,6,434604
404,1,402978
404,2,374601
404,3,382743
404,4,363888
404,5,422560
404,6,434604
407,1,360516
407,2,407170
407,3,396387
407,4,368281
407,5,414416
407,6,434604
409,1,385492
409,2,357924
409,3,403332
409,4,381763
409,5,418259
409,6,434604
414,1,403332
414,2,359060
414,3,435011
414,4,406355
414,5,388964
414,6,388652
420,1,375447
420,2,360138
420,3,434604
420,4,410671
420,5,372542
420,6,427972
434,1,426684
434,2,369860
434,3,434604
434,4,358223
434,5,414116
434,6,377887
436,1,400252
436,2,403332
436,3,359060
436,4,423057
436,5,388964
436,6,406709
437,1,402250
437,2,388964
437,3,426643
437,4,403332
437,5,401125
437,6,359060
438,1,425885
438,2,402978
438,3,363888
438,4,434604
438,5,379418
438,6,374601
448,1,385492
448,2,357924
448,3,403332
448,4,381763
448,5,418259
448,6,434604
449,1,435406
449,2,401527
449,3,367914
449,4,378035
449,5,363888
449,6,434604
458,1,410754
458,2,363888
458,3,361804
458,4,384145
458,5,426179
458,6,434604
474,1,407721
474,2,360138
474,3,424133
474,4,379331
474,5,375447
474,6,434604
476,1,407064
476,2,434604
476,3,363888
476,4,395712
476,5,405505
476,6,374601
480,1,383096
480,2,363888
480,3,423231
480,4,362853
480,5,413702
480,6,434604
482,1,430771
482,2,374601
482,3,362592
482,4,414918
482,5,392956
482,6,405536
483,1,434604
483,2,363888
483,3,408334
483,4,383273
483,5,416674
483,6,374601
485,1,383096
485,2,414416
485,3,434604
485,4,384590
485,5,394203
485,6,370465
487,1,363888
487,2,374611
487,3,410180
487,4,371338
487,5,426753
487,6,434604
490,1,363888
490,2,432015
490,3,434604
490,4,398386
490,5,377880
490,6,374601
492,1,415121
492,2,434676
492,3,380221
492,4,388964
492,5,403332
492,6,359060
494,1,359858
494,2,414416
494,3,434604
494,4,407828
494,5,402432
494,6,362236
495,1,385492
495,2,357924
495,3,403332
495,4,381763
495,5,418259
495,6,434604
499,1,434604
499,2,425896
499,3,363888
499,4,388489
499,5,393896
499,6,374601
503,1,384284
503,2,390749
503,3,364569
503,4,433249
503,5,373919
503,6,434604
504,1,392086
504,2,402432
504,3,362236
504,4,434604
504,5,414416
504,6,375600
509,1,383096
509,2,363888
509,3,423231
509,4,362853
509,5,413702
509,6,434604
514,1,363888
514,2,434604
514,3,374601
514,4,418082
514,5,399598
514,6,390601
522,1,392086
522,2,402432
522,3,362236
522,4,434604
522,5,414416
522,6,375600
525,1,435011
525,2,434604
525,3,393499
525,4,363888
525,5,379771
525,6,374601
526,1,383096
526,2,363888
526,3,423231
526,4,413702
526,5,362853
526,6,434604
533,1,410754
533,2,363888
533,3,361804
533,4,384145
533,5,426179
533,6,434604
538,1,393237
538,2,423306
538,3,405536
538,4,363361
538,5,392956
538,6,402978
539,1,383096
539,2,363888
539,3,423231
539,4,362853
539,5,413702
539,6,434604
551,1,383096
551,2,363888
551,3,423231
551,4,362853
551,5,413702
551,6,434604
555,1,400252
555,2,403332
555,3,359060
555,4,423057
555,5,388964
555,6,406709
556,1,420172
556,2,383579
556,3,434604
556,4,358223
556,5,403332
556,6,381464
567,1,363888
567,2,435011
567,3,434604
567,4,377634
567,5,401922
567,6,368315
571,1,363888
571,2,422590
571,3,414343
571,4,434604
571,5,385492
571,6,360457
573,1,383096
573,2,363888
573,3,423231
573,4,413702
573,5,362853
573,6,434604
574,1,374601
574,2,371491
574,3,363888
574,4,419772
574,5,417018
574,6,434604
577,1,383096
577,2,363888
577,3,423231
577,4,413702
577,5,362853
577,6,434604
579,1,385492
579,2,357924
579,3,403332
579,4,381763
579,5,418259
579,6,434604
580,1,385143
580,2,374601
580,3,363888
580,4,428829
580,5,394309
580,6,434604
591,1,406046
591,2,430887
591,3,434604
591,4,365954
591,5,379995
591,6,363888
596,1,414116
596,2,434604
596,3,371821
596,4,358223
596,5,377887
596,6,424723
597,1,425885
597,2,402978
597,3,363888
597,4,434604
597,5,379347
597,6,374672
598,1,383096
598,2,363888
598,3,423231
598,4,362853
598,5,413702
598,6,434604
606,1,408245
606,2,414116
606,3,434604
606,4,378126
606,5,377887
606,6,368396
610,1,415438
610,2,421495
610,3,363888
610,4,434604
610,5,385220
610,6,360729
613,1,430771
613,2,374601
613,3,362592
613,4,414918
613,5,363888
613,6,434604
614,1,363888
614,2,375465
614,3,374601
614,4,434604
614,5,405474
614,6,427342
616,1,410941
616,2,407721
616,3,389619
616,4,363888
616,5,374601
616,6,434604
617,1,364811
617,2,414416
617,3,434604
617,4,387024
617,5,399857
617,6,380662
622,1,385492
622,2,357924
622,3,403332
622,4,381763
622,5,418259
622,6,434604
626,1,385492
626,2,357924
626,3,403332
626,4,381763
626,5,418259
626,6,434604
628,1,374601
628,2,371491
628,3,363888
628,4,419772
628,5,417018
628,6,434604
634,1,384145
634,2,361804
634,3,434604
634,4,363888
634,5,407355
634,6,429578
635,1,414650
635,2,372529
635,3,434604
635,4,391905
635,5,390063
635,6,377623
636,1,434604
636,2,425896
636,3,363888
636,4,388489
636,5,393896
636,6,374601
638,1,374601
638,2,434604
638,3,430771
638,4,363888
