draw,district,total_pop
472,3,445558
478,1,543204
478,2,328463
478,3,432333
480,1,359728
480,2,442183
480,3,502089
482,1,308007
482,2,442183
482,3,553810
483,1,420765
483,2,406963
483,3,476272
487,1,333824
487,2,442183
487,3,527993
488,1,343227
488,2,476719
488,3,484054
489,1,385545
489,2,526900
489,3,391555
490,1,305725
490,2,442183
490,3,556092
491,1,305725
491,2,442183
491,3,556092
499,1,333824
499,2,442183
499,3,527993
504,1,340945
504,2,488237
504,3,474818
508,1,340945
508,2,406963
508,3,556092
512,1,305725
512,2,511939
512,3,486336
524,1,325465
524,2,442183
524,3,536352
525,1,308007
525,2,552717
525,3,443276
529,1,369044
529,2,406963
529,3,527993
535,1,359728
535,2,511939
535,3,432333
539,1,386502
539,2,406963
539,3,510535
542,1,325465
542,2,442183
542,3,536352
544,1,305725
544,2,511939
544,3,486336
545,1,359728
545,2,442183
545,3,502089
548,1,543204
548,2,369241
548,3,391555
554,1,386502
554,2,406963
554,3,510535
557,1,360685
557,2,488237
557,3,455078
559,1,385545
559,2,523457
559,3,394998
561,1,360685
561,2,476719
561,3,466596
564,1,489201
564,2,328463
564,3,486336
569,1,360685
569,2,476719
569,3,466596
570,1,305725
570,2,442183
570,3,556092
572,1,351282
572,2,511939
572,3,440779
573,1,420765
573,2,406963
573,3,476272
581,1,340945
581,2,476719
581,3,486336
583,1,343227
583,2,406963
583,3,553810
585,1,385545
585,2,442183
585,3,476272
589,1,325465
589,2,511939
589,3,466596
590,1,359728
590,2,442183
590,3,502089
603,1,491483
603,2,328463
603,3,484054
610,1,351282
610,2,442183
610,3,510535
611,1,420765
611,2,406963
611,3,476272
617,1,491483
617,2,328463
617,3,484054
625,1,369044
625,2,476719
625,3,458237
630,1,340945
630,2,517497
630,3,445558
632,1,366762
632,2,406963
632,3,530275
634,1,543204
634,2,369241
634,3,391555
638,1,325465
638,2,511939
638,3,466596
642,1,333824
642,2,442183
642,3,527993
644,1,491483
644,2,328463
644,3,484054
647,1,351282
647,2,442183
647,3,510535
651,1,343227
651,2,476719
651,3,484054
655,1,325465
655,2,442183
655,3,536352
656,1,420765
656,2,476719
656,3,406516
658,1,420765
658,2,406963
658,3,476272
665,1,308007
665,2,511939
665,3,484054
666,1,385545
666,2,511939
666,3,406516
669,1,394948
669,2,476719
669,3,432333
672,1,305725
672,2,511939
672,3,486336
674,1,343227
674,2,517497
674,3,443276
680,1,517300
680,2,328463
680,3,458237
681,1,386502
681,2,406963
681,3,510535
682,1,343227
682,2,476719
682,3,484054
690,1,308007
690,2,442183
690,3,553810
692,1,385545
692,2,442183
692,3,476272
703,1,325465
703,2,442183
703,3,536352
705,1,333824
705,2,442183
705,3,527993
718,1,305725
718,2,442183
718,3,556092
720,1,308007
720,2,442183
720,3,553810
721,1,343227
721,2,517497
721,3,443276
722,1,360685
722,2,406963
722,3,536352
724,1,385545
724,2,511939
724,3,406516
728,1,394948
728,2,406963
728,3,502089
731,1,308007
731,2,442183
731,3,553810
735,1,351282
735,2,511939
735,3,440779
740,1,360685
