draw,district,total_pop
4,1,460547
4,2,502643
4,3,445056
4,4,455069
11,1,432677
11,2,486815
11,3,460547
11,4,483276
18,1,453575
18,2,472848
18,3,474514
18,4,462378
23,1,467015
23,2,496175
23,3,445056
23,4,455069
27,1,472848
27,2,491207
27,3,448640
27,4,450620
41,1,407842
41,2,508678
41,3,450620
41,4,496175
53,1,527947
53,2,410138
53,3,426074
53,4,499156
56,1,429843
56,2,405146
56,3,529915
56,4,498411
59,1,461450
59,2,460547
59,3,498550
59,4,442768
62,1,404199
62,2,496175
62,3,520173
62,4,442768
69,1,403115
69,2,498991
69,3,472848
69,4,488361
75,1,468997
75,2,399732
75,3,496175
75,4,498411
79,1,433275
79,2,529915
79,3,445056
79,4,455069
82,1,464256
82,2,508476
82,3,450620
82,4,439963
88,1,473185
88,2,455069
88,3,405146
88,4,529915
108,1,482531
108,2,529915
108,3,444646
108,4,406223
109,1,469918
109,2,404726
109,3,460547
109,4,528124
114,1,450620
114,2,447862
114,3,468658
114,4,496175
116,1,525873
116,2,529915
116,3,405146
116,4,402381
125,1,472848
125,2,502643
125,3,445056
125,4,442768
128,1,445056
128,2,467015
128,3,508476
128,4,442768
134,1,529915
134,2,406223
134,3,482531
134,4,444646
145,1,508476
145,2,488401
145,3,423670
145,4,442768
155,1,504286
155,2,460547
155,3,462378
155,4,436104
168,1,508476
168,2,423167
168,3,456357
168,4,475315
173,1,508476
173,2,413773
173,3,442768
173,4,498298
180,1,489579
180,2,508476
180,3,422492
180,4,442768
188,1,442668
188,2,468115
188,3,424585
188,4,527947
190,1,458120
190,2,446237
190,3,460547
190,4,498411
191,1,450620
191,2,495102
191,3,496175
191,4,421418
192,1,436886
192,2,527947
192,3,447862
192,4,450620
197,1,447862
197,2,468658
197,3,496175
197,4,450620
198,1,488196
198,2,493962
198,3,472848
198,4,408309
200,1,437204
200,2,502643
200,3,462921
200,4,460547
207,1,472848
207,2,485231
207,3,502777
207,4,402459
209,1,531708
209,2,472848
209,3,454033
209,4,404726
210,1,495468
210,2,432786
210,3,405146
210,4,529915
216,1,472848
216,2,483276
