draw,district,total_pop
625,7,372320
655,1,435941
655,2,382793
655,3,437881
655,4,368992
655,5,372320
655,6,392762
655,7,418501
673,1,433596
673,2,363117
673,3,401499
673,4,389576
673,5,373524
673,6,417000
673,7,430878
677,1,382793
677,2,372320
677,3,422870
677,4,392762
677,5,414857
677,6,387647
677,7,435941
678,1,397423
678,2,401499
678,3,396917
678,4,366807
678,5,430878
678,6,382070
678,7,433596
690,1,430878
690,2,435941
690,3,392762
690,4,405243
690,5,389253
690,6,382793
690,7,372320
708,1,368992
708,2,392762
708,3,382793
708,4,437881
708,5,372320
708,6,418501
708,7,435941
712,1,368992
712,2,435941
712,3,437881
712,4,392762
712,5,418501
712,6,382793
712,7,372320
756,1,430878
756,2,377662
756,3,382793
756,4,372320
756,5,420343
756,6,389253
756,7,435941
759,1,367207
759,2,389253
759,3,382070
759,4,401499
759,5,435941
759,6,399624
759,7,433596
785,1,422870
785,2,399103
785,3,435941
785,4,377662
785,5,417297
785,6,382793
785,7,373524
804,1,382692
804,2,366807
804,3,401499
804,4,411648
804,5,382070
804,6,430878
804,7,433596
806,1,387680
806,2,416366
806,3,437230
806,4,419440
806,5,401499
806,6,375753
806,7,371222
814,1,382793
814,2,399846
814,3,437881
814,4,396917
814,5,392762
814,6,426671
814,7,372320
817,1,382793
817,2,373524
817,3,392762
817,4,435941
817,5,384003
817,6,399266
817,7,440901
830,1,392762
830,2,382793
830,3,372320
830,4,435941
830,5,418501
830,6,384003
830,7,422870
838,1,392762
838,2,382793
838,3,422870
838,4,435941
838,5,417297
838,6,384003
838,7,373524
859,1,381263
859,2,401499
859,3,384148
859,4,422972
859,5,437881
859,6,419555
859,7,361872
878,1,382793
878,2,430878
878,3,435941
878,4,389253
878,5,405243
878,6,392762
878,7,372320
888,1,396917
888,2,401499
888,3,422870
888,4,419555
888,5,361229
888,6,387680
888,7,419440
941,1,368592
941,2,401499
941,3,382692
941,4,437881
941,5,431518
941,6,414444
941,7,372564
978,1,382692
978,2,366807
978,3,411648
978,4,382070
978,5,401499
978,6,430878
978,7,433596
981,1,382692
981,2,366807
981,3,411648
981,4,382070
981,5,401499
981,6,430878
981,7,433596
1001,1,377662
1001,2,435941
1001,3,382793
1001,4,437881
1001,5,372320
1001,6,420343
1001,7,382250
1007,1,382692
1007,2,403216
1007,3,419440
1007,4,411648
1007,5,401499
1007,6,403015
1007,7,387680
1020,1,381712
1020,2,435941
1020,3,422870
1020,4,377662
1020,5,435892
1020,6,382793
1020,7,372320
1022,1,422870
1022,2,396917
1022,3,382793
1022,4,392762
1022,5,408845
1022,6,372320
1022,7,432683
1033,1,435941
1033,2,372320
1033,3,382793
1033,4,392762
1033,5,387647
1033,6,414857
1033,7,422870
1034,1,422870
1034,2,392762
1034,3,432683
1034,4,382793
1034,5,372320
1034,6,369821
1034,7,435941
1035,1,435941
1035,2,382793
1035,3,430878
1035,4,389253
1035,5,392762
1035,6,405243
1035,7,372320
1049,1,396917
1049,2,437881
1049,3,392762
1049,4,432683
1049,5,393834
1049,6,382793
1049,7,372320
1052,1,430878
1052,2,401499
1052,3,382070
1052,4,433596
1052,5,366807
1052,6,397423
1052,7,396917
1056,1,412954
1056,2,382793
1056,3,412491
1056,4,441044
1056,5,416366
1056,6,372320
1056,7,371222
1058,1,382793
1058,2,399846
1058,3,437881
1058,4,435941
1058,5,372320
1058,6,392762
1058,7,387647
1097,1,367207
1097,2,389253
1097,3,382070
1097,4,435941
1097,5,401499
1097,6,399624
1097,7,433596
1105,1,368992
1105,2,392762
1105,3,373524
1105,4,382793
1105,5,417297
1105,6,435941
1105,7,437881
1119,1,372320
1119,2,422870
1119,3,382793
1119,4,392762
1119,5,432683
1119,6,369821
1119,7,435941
1122,1,437230
1122,2,401499
1122,3,384148
1122,4,416366
1122,5,371222
1122,6,431518
1122,7,367207
1128,1,367207
1128,2,389253
1128,3,382070
1128,4,435941
1128,5,401499
1128,6,399624
1128,7,433596
1142,1,412954
1142,2,382793
1142,3,412491
1142,4,441044
1142,5,363117
1142,6,424471
1142,7,372320
1148,1,437230
1148,2,401499
1148,3,416366
1148,4,371222
1148,5,433596
1148,6,382070
1148,7,367207
1161,1,399846
1161,2,435941
1161,3,437881
1161,4,382793
1161,5,386443
1161,6,392762
1161,7,373524
1168,1,413425
1168,2,432241
1168,3,428277
1168,4,396917
1168,5,372362
1168,6,392444
1168,7,373524
1176,1,430878
1176,2,382793
1176,3,435941
1176,4,389253
1176,5,392762
1176,6,405243
1176,7,372320
1186,1,401499
1186,2,433596
1186,3,398335
1186,4,382070
1186,5,389253
1186,6,394469
1186,7,409968
1191,1,401499
1191,2,419440
1191,3,419555
1191,4,387680
1191,5,422870
1191,6,396917
1191,7,361229
1197,1,435941
1197,2,382793
1197,3,392762
1197,4,372320
1197,5,437881
1197,6,418501
1197,7,368992
1213,1,433596
1213,2,401499
1213,3,370001
1213,4,382692
1213,5,399624
1213,6,400870
1213,7,420908
1214,1,397423
1214,2,401499
1214,3,396917
1214,4,433596
1214,5,430878
1214,6,382070
1214,7,366807
1218,1,373524
1218,2,401499
1218,3,375753
1218,4,413077
1218,5,433596
1218,6,381263
1218,7,430478
1223,1,416366
1223,2,437230
1223,3,433596
1223,4,371222
1223,5,373524
1223,6,401499
1223,7,375753
1236,1,431518
1236,2,401499
1236,3,384148
1236,4,398335
1236,5,437230
1236,6,389253
1236,7,367207
1241,1,435941
1241,2,440901
1241,3,382793
1241,4,429957
1241,5,377662
1241,6,373524
1241,7,368412
1279,1,382692
1279,2,370001
1279,3,369616
1279,4,430878
1279,5,420908
1279,6,401499
1279,7,433596
1283,1,382793
1283,2,435941
1283,3,377662
1283,4,398703
1283,5,372320
1283,6,400870
1283,7,440901
1328,1,423282
1328,2,372320
1328,3,434589
1328,4,382793
1328,5,405578
1328,6,397866
