draw,district,total_pop
275, 2,404470
275, 3,349447
275, 4,443774
275, 5,346579
275, 6,392367
275, 7,430290
275, 8,406385
275, 9,455770
275,10,475333
275,11,366294
275,12,486946
275,13,502817
275,14,534358
284, 1,547473
284, 2,404470
284, 3,349447
284, 4,443774
284, 5,346579
284, 6,392367
284, 7,430290
284, 8,406385
284, 9,455770
284,10,475333
284,11,366294
284,12,483514
284,13,502817
284,14,537790
285, 1,547473
285, 2,404470
285, 3,349447
285, 4,443774
285, 5,346579
285, 6,392367
285, 7,430290
285, 8,406385
285, 9,455770
285,10,475333
285,11,366294
285,12,502817
285,13,496071
285,14,525233
286, 1,547473
286, 2,404470
286, 3,349447
286, 4,443774
286, 5,346579
286, 6,392367
286, 7,430290
286, 8,406385
286, 9,455770
286,10,475333
286,11,366294
286,12,475357
286,13,502817
286,14,545947
299, 1,547473
299, 2,404470
299, 3,349447
299, 4,443774
299, 5,346579
299, 6,392367
299, 7,430290
299, 8,406385
299, 9,455770
299,10,475333
299,11,366294
299,12,475357
299,13,502817
299,14,545947
324, 1,547473
324, 2,404470
324, 3,349447
324, 4,443774
324, 5,346579
324, 6,392367
324, 7,430290
324, 8,406385
324, 9,455770
324,10,475333
324,11,366294
324,12,502817
324,13,504340
324,14,516964
350, 1,547473
350, 2,404470
350, 3,349447
350, 4,443774
350, 5,346579
350, 6,392367
350, 7,430290
350, 8,406385
350, 9,455770
350,10,475333
350,11,366294
350,12,502817
350,13,489863
350,14,531441
353, 1,547473
353, 2,404470
353, 3,349447
353, 4,443774
353, 5,346579
353, 6,392367
353, 7,430290
353, 8,406385
353, 9,455770
353,10,475333
353,11,366294
353,12,475357
353,13,502817
353,14,545947
375, 1,547473
375, 2,404470
375, 3,349447
375, 4,443774
375, 5,346579
375, 6,392367
375, 7,430290
375, 8,406385
375, 9,455770
375,10,475333
375,11,366294
375,12,483514
375,13,502817
375,14,537790
385, 1,547473
385, 2,404470
385, 3,349447
385, 4,443774
385, 5,346579
385, 6,392367
385, 7,430290
385, 8,406385
385, 9,455770
385,10,475333
385,11,366294
385,12,502817
385,13,488233
385,14,533071
399, 1,547473
399, 2,404470
399, 3,349447
399, 4,443774
399, 5,346579
399, 6,392367
399, 7,430290
399, 8,406385
399, 9,455770
399,10,475333
399,11,366294
399,12,502817
399,13,488233
399,14,533071
409, 1,547473
409, 2,404470
409, 3,349447
409, 4,443774
409, 5,346579
409, 6,392367
409, 7,430290
409, 8,406385
409, 9,455770
409,10,475333
409,11,366294
409,12,502817
409,13,504340
409,14,516964
428, 1,547473
428, 2,404470
428, 3,349447
428, 4,443774
428, 5,346579
428, 6,392367
428, 7,430290
428, 8,406385
428, 9,455770
