draw,district,total_pop
120, 1,533303
120, 2,475293
120, 3,497272
120, 4,468895
120, 5,456480
120, 6,374270
120, 7,395702
120, 8,417346
120, 9,373779
120,10,474680
120,11,396631
120,12,396186
120,13,471004
120,14,445774
120,15,476981
120,16,529730
155, 1,533303
155, 2,475293
155, 3,497272
155, 4,468895
155, 5,456480
155, 6,374270
155, 7,395702
155, 8,417346
155, 9,373779
155,10,474680
155,11,396631
155,12,396186
155,13,471004
155,14,492472
155,15,445284
155,16,514729
156, 1,533303
156, 2,475293
156, 3,497272
156, 4,468895
156, 5,456480
156, 6,374270
156, 7,395702
156, 8,417346
156, 9,373779
156,10,474680
156,11,396631
156,12,396186
156,13,471004
156,14,445774
156,15,497134
156,16,509577
171, 1,533303
171, 2,475293
171, 3,497272
171, 4,468895
171, 5,456480
171, 6,374270
171, 7,395702
171, 8,417346
171, 9,373779
171,10,474680
171,11,396631
171,12,396186
171,13,471004
171,14,501534
171,15,446759
171,16,504192
173, 1,533303
173, 2,475293
173, 3,497272
173, 4,468895
173, 5,456480
173, 6,374270
173, 7,395702
173, 8,417346
173, 9,373779
173,10,474680
173,11,396631
173,12,396186
173,13,471004
173,14,445774
173,15,476981
173,16,529730
181, 1,533303
181, 2,475293
181, 3,497272
181, 4,468895
181, 5,456480
181, 6,374270
181, 7,395702
181, 8,417346
181, 9,373779
181,10,474680
181,11,396631
181,12,396186
181,13,471004
181,14,492472
181,15,445529
181,16,514484
182, 1,533303
182, 2,475293
182, 3,497272
182, 4,468895
182, 5,456480
182, 6,374270
182, 7,395702
182, 8,417346
182, 9,373779
182,10,390214
182,11,445728
182,12,491635
182,13,437092
182,14,448027
182,15,443486
182,16,534804
189, 1,533303
189, 2,475293
189, 3,497272
189, 4,468895
189, 5,456480
189, 6,374270
189, 7,395702
189, 8,417346
189, 9,373779
189,10,474680
189,11,396631
189,12,396186
189,13,471004
189,14,445774
189,15,497134
189,16,509577
202, 1,533303
202, 2,475293
202, 3,497272
202, 4,468895
202, 5,456480
202, 6,374270
202, 7,395702
202, 8,417346
202, 9,373779
202,10,474680
202,11,396631
202,12,396186
202,13,471004
202,14,492472
202,15,447725
202,16,512288
203, 1,533303
203, 2,475293
203, 3,497272
203, 4,468895
203, 5,456480
203, 6,374270
203, 7,395702
203, 8,417346
203, 9,373779
203,10,474680
203,11,396631
203,12,396186
203,13,471004
203,14,445774
203,15,476981
203,16,529730
209, 1,533303
209, 2,475293
209, 3,497272
209, 4,468895
209, 5,456480
209, 6,374270
209, 7,395702
209, 8,417346
209, 9,373779
209,10,474680
209,11,396631
209,12,396186
209,13,471004
209,14,501534
209,15,434289
209,16,516662
211, 1,533303
211, 2,475293
211, 3,497272
211, 4,468895
211, 5,456480
211, 6,374270
211, 7,395702
211, 8,417346
211, 9,373779
211,10,474680
211,11,396631
211,12,396186
211,13,471004
211,14,445774
211,15,497134
211,16,509577
215, 1,533303
215, 2,475293
215, 3,497272
215, 4,468895
215, 5,456480
215, 6,374270
215, 7,395702
215, 8,417346
215, 9,373779
215,10,474680
215,11,396631
215,12,396186
215,13,471004
215,14,445774
215,15,497134
215,16,509577
220, 1,533303
220, 2,475293
220, 3,497272
220, 4,468895
220, 5,456480
220, 6,374270
220, 7,395702
220, 8,417346
220, 9,373779
220,10,474680
220,11,396631
220,12,396186
220,13,471004
220,14,445774
220,15,476981
220,16,529730
221, 1,533303
221, 2,475293
221, 3,497272
221, 4,468895
221, 5,456480
221, 6,374270
221, 7,395702
221, 8,417346
221, 9,373779
221,10,474680
221,11,396631
221,12,396186
221,13,471004
221,14,501534
221,15,446759
221,16,504192
227, 1,533303
227, 2,475293
227, 3,497272
227, 4,468895
227, 5,456480
227, 6,374270
227, 7,395702
227, 8,417346
227, 9,373779
227,10,474680
227,11,396631
227,12,396186
227,13,471004
227,14,492472
227,15,451326
227,16,508687
234, 1,533303
234, 2,475293
234, 3,497272
234, 4,468895
234, 5,456480
234, 6,374270
234, 7,395702
234, 8,417346
234, 9,373779
234,10,474680
234,11,396631
234,12,396186
234,13,471004
234,14,492472
234,15,445284
234,16,514729
236, 1,533303
236, 2,475293
236, 3,497272
236, 4,468895
236, 5,456480
236, 6,374270
236, 7,395702
236, 8,417346
236, 9,373779
236,10,474680
236,11,396631
236,12,396186
236,13,471004
236,14,445774
236,15,497134
236,16,509577
255, 1,533303
255, 2,475293
255, 3,497272
255, 4,468895
255, 5,456480
255, 6,374270
255, 7,395702
255, 8,417346
255, 9,373779
255,10,474680
255,11,396631
255,12,396186
255,13,471004
255,14,501534
255,15,427144
255,16,523807
262, 1,533303
262, 2,475293
262, 3,497272
262, 4,468895
262, 5,456480
262, 6,374270
262, 7,395702
262, 8,417346
262, 9,373779
262,10,474680
262,11,396631
262,12,396186
262,13,471004
262,14,492472
262,15,445774
262,16,514239
264, 1,533303
264, 2,475293
264, 3,497272
264, 4,468895
264, 5,456480
264, 6,374270
264, 7,395702
264, 8,417346
264, 9,373779
264,10,474680
264,11,396631
264,12,396186
264,13,471004
264,14,445774
264,15,497134
264,16,509577
266, 1,533303
266, 2,475293
266, 3,497272
266, 4,468895
266, 5,456480
266, 6,374270
266, 7,395702
266, 8,417346
266, 9,373779
266,10,474680
266,11,396631
266,12,396186
266,13,471004
266,14,501534
266,15,442874
266,16,508077
268, 1,533303
268, 2,475293
268, 3,497272
268, 4,468895
268, 5,456480
268, 6,374270
268, 7,395702
268, 8,417346
268, 9,373779
268,10,474680
268,11,396631
268,12,396186
268,13,471004
268,14,492472
268,15,429563
268,16,530450
276, 1,533303
276, 2,475293
276, 3,497272
276, 4,468895
276, 5,456480
276, 6,374270
276, 7,395702
276, 8,417346
276, 9,373779
276,10,474680
276,11,396631
276,12,396186
276,13,471004
276,14,492472
276,15,445774
276,16,514239
282, 1,533303
282, 2,475293
282, 3,497272
282, 4,468895
282, 5,456480
282, 6,374270
282, 7,395702
282, 8,417346
282, 9,373779
282,10,474680
282,11,396631
282,12,396186
282,13,471004
282,14,501534
282,15,447779
282,16,503172
286, 1,533303
286, 2,475293
