draw,district,total_pop
7,1,613714
7,2,440421
7,3,330771
10,1,497333
10,2,509887
10,3,377686
14,1,589633
14,2,408323
14,3,386950
15,1,408323
15,2,589633
15,3,386950
17,1,341255
17,2,477569
17,3,566082
18,1,497333
18,2,494941
18,3,392632
20,1,477789
20,2,566082
20,3,341035
22,1,589633
22,2,408323
22,3,386950
29,1,472107
29,2,472378
29,3,440421
37,1,386950
37,2,488069
37,3,509887
39,1,475098
39,2,344955
39,3,564853
41,1,344955
41,2,557309
41,3,482642
44,1,509887
44,2,497333
44,3,377686
46,1,336182
46,2,566082
46,3,482642
47,1,509887
47,2,497333
47,3,377686
55,1,509887
55,2,497333
55,3,377686
56,1,377686
56,2,509887
56,3,497333
59,1,454238
59,2,448026
59,3,482642
62,1,482642
62,2,454238
62,3,448026
63,1,472378
63,2,472107
63,3,440421
68,1,342718
68,2,497333
68,3,544855
72,1,589633
72,2,408323
72,3,386950
76,1,392632
76,2,386950
76,3,605324
79,1,472378
79,2,571493
79,3,341035
83,1,341255
83,2,477569
83,3,566082
86,1,408323
86,2,448026
86,3,528557
88,1,392632
88,2,458240
88,3,534034
89,1,522110
89,2,454238
89,3,408558
94,1,497333
94,2,494941
94,3,392632
97,1,408323
97,2,386950
97,3,589633
101,1,589633
101,2,408323
101,3,386950
102,1,304372
102,2,597892
102,3,482642
103,1,596080
103,2,408323
103,3,380503
110,1,448026
110,2,454238
110,3,482642
112,1,341035
112,2,454238
112,3,589633
121,1,454238
121,2,589633
121,3,341035
131,1,459698
131,2,342718
131,3,582490
132,1,488069
132,2,509887
132,3,386950
133,1,353478
133,2,408323
133,3,623105
134,1,324860
134,2,577404
134,3,482642
140,1,304372
140,2,597892
140,3,482642
152,1,545092
152,2,486336
152,3,353478
153,1,466572
153,2,421001
153,3,497333
154,1,448026
154,2,408323
154,3,528557
156,1,497333
156,2,509887
156,3,377686
157,1,454238
157,2,589633
157,3,341035
163,1,557309
163,2,344955
163,3,482642
164,1,557309
164,2,344955
164,3,482642
169,1,550165
169,2,489786
169,3,344955
175,1,577190
175,2,454238
175,3,353478
176,1,324860
176,2,495193
176,3,564853
177,1,392632
177,2,494941
177,3,497333
178,1,325109
178,2,458240
178,3,601557
181,1,589633
181,2,454238
181,3,341035
185,1,614767
185,2,425184
185,3,344955
186,1,557309
186,2,344955
186,3,482642
190,1,589633
190,2,454238
190,3,341035
191,1,344955
191,2,472378
191,3,567573
192,1,408323
192,2,589633
192,3,386950
197,1,557309
197,2,344955
197,3,482642
211,1,386950
211,2,477789
211,3,520167
213,1,482642
213,2,533984
213,3,368280
220,1,392632
220,2,386950
220,3,605324
221,1,534034
221,2,427875
221,3,422997
228,1,376498
228,2,497333
228,3,511075
235,1,377686
235,2,509887
235,3,497333
237,1,448026
237,2,408323
237,3,528557
238,1,533984
238,2,509887
238,3,341035
250,1,454238
250,2,365815
250,3,564853
251,1,454238
251,2,458290
251,3,472378
259,1,324860
259,2,482642
259,3,577404
261,1,472378
261,2,571493
261,3,341035
262,1,454238
262,2,589633
262,3,341035
272,1,341255
272,2,520167
272,3,523484
274,1,454238
274,2,448026
274,3,482642
283,1,482642
283,2,533984
283,3,368280
284,1,472378
284,2,497333
284,3,415195
285,1,533984
285,2,508204
285,3,342718
287,1,392632
287,2,494941
287,3,497333
288,1,408323
288,2,589633
288,3,386950
289,1,525578
289,2,528557
289,3,330771
298,1,534034
298,2,509617
298,3,341255
303,1,497333
303,2,509887
303,3,377686
305,1,475098
305,2,344955
305,3,564853
309,1,482642
309,2,577404
309,3,324860
313,1,448026
313,2,454238
313,3,482642
315,1,340985
315,2,509887
315,3,534034
324,1,589633
324,2,408323
324,3,386950
326,1,377686
326,2,509887
326,3,497333
331,1,589633
331,2,454238
331,3,341035
338,1,386950
338,2,408323
338,3,589633
341,1,454238
341,2,589633
341,3,341035
342,1,534034
342,2,509887
342,3,340985
346,1,454238
346,2,448026
346,3,482642
354,1,448026
354,2,454238
354,3,482642
361,1,336182
361,2,520167
361,3,528557
369,1,344955
369,2,426192
369,3,613759
370,1,341255
370,2,546318
370,3,497333
374,1,304372
374,2,478992
374,3,601542
375,1,497333
375,2,477789
375,3,409784
382,1,589633
382,2,408323
