draw,chain,district
100,1,1
100,1,2
100,1,3
100,1,4
100,1,5
106,1,1
106,1,2
106,1,3
106,1,4
106,1,5
107,1,1
107,1,2
107,1,3
107,1,4
107,1,5
113,1,1
113,1,2
113,1,3
113,1,4
113,1,5
115,1,1
115,1,2
115,1,3
115,1,4
115,1,5
116,1,1
116,1,2
116,1,3
116,1,4
116,1,5
117,1,1
117,1,2
117,1,3
117,1,4
117,1,5
121,1,1
121,1,2
121,1,3
121,1,4
121,1,5
124,1,1
124,1,2
124,1,3
124,1,4
124,1,5
130,1,1
130,1,2
130,1,3
130,1,4
130,1,5
136,1,1
136,1,2
136,1,3
136,1,4
136,1,5
137,1,1
137,1,2
137,1,3
137,1,4
137,1,5
145,1,1
145,1,2
145,1,3
145,1,4
145,1,5
148,1,1
148,1,2
148,1,3
148,1,4
148,1,5
153,1,1
153,1,2
153,1,3
153,1,4
153,1,5
155,1,1
155,1,2
155,1,3
155,1,4
155,1,5
159,1,1
159,1,2
159,1,3
159,1,4
159,1,5
163,1,1
163,1,2
163,1,3
163,1,4
163,1,5
168,1,1
168,1,2
168,1,3
168,1,4
168,1,5
170,1,1
170,1,2
170,1,3
170,1,4
170,1,5
174,1,1
174,1,2
174,1,3
174,1,4
174,1,5
175,1,1
175,1,2
175,1,3
175,1,4
175,1,5
176,1,1
176,1,2
176,1,3
176,1,4
176,1,5
178,1,1
178,1,2
178,1,3
178,1,4
178,1,5
179,1,1
179,1,2
179,1,3
179,1,4
179,1,5
184,1,1
184,1,2
184,1,3
184,1,4
184,1,5
185,1,1
185,1,2
185,1,3
185,1,4
185,1,5
187,1,1
187,1,2
187,1,3
187,1,4
187,1,5
191,1,1
191,1,2
191,1,3
191,1,4
191,1,5
193,1,1
193,1,2
193,1,3
193,1,4
193,1,5
199,1,1
199,1,2
199,1,3
199,1,4
199,1,5
209,1,1
209,1,2
209,1,3
209,1,4
209,1,5
213,1,1
213,1,2
213,1,3
213,1,4
213,1,5
214,1,1
214,1,2
214,1,3
214,1,4
214,1,5
223,1,1
223,1,2
223,1,3
223,1,4
223,1,5
226,1,1
226,1,2
226,1,3
226,1,4
226,1,5
233,1,1
233,1,2
233,1,3
233,1,4
233,1,5
235,1,1
235,1,2
235,1,3
235,1,4
235,1,5
236,1,1
236,1,2
236,1,3
236,1,4
236,1,5
238,1,1
238,1,2
238,1,3
238,1,4
238,1,5
240,1,1
240,1,2
240,1,3
240,1,4
240,1,5
248,1,1
248,1,2
248,1,3
248,1,4
248,1,5
250,1,1
250,1,2
250,1,3
250,1,4
250,1,5
251,1,1
251,1,2
251,1,3
251,1,4
251,1,5
252,1,1
252,1,2
252,1,3
252,1,4
252,1,5
256,1,1
256,1,2
256,1,3
256,1,4
256,1,5
263,1,1
263,1,2
263,1,3
263,1,4
263,1,5
264,1,1
264,1,2
264,1,3
264,1,4
264,1,5
277,1,1
277,1,2
277,1,3
277,1,4
277,1,5
279,1,1
279,1,2
279,1,3
279,1,4
279,1,5
281,1,1
281,1,2
281,1,3
281,1,4
281,1,5
283,1,1
283,1,2
283,1,3
283,1,4
283,1,5
286,1,1
286,1,2
286,1,3
286,1,4
286,1,5
289,1,1
289,1,2
289,1,3
289,1,4
289,1,5
291,1,1
291,1,2
291,1,3
291,1,4
291,1,5
297,1,1
297,1,2
297,1,3
297,1,4
297,1,5
298,1,1
298,1,2
298,1,3
298,1,4
298,1,5
301,1,1
301,1,2
301,1,3
301,1,4
301,1,5
302,1,1
302,1,2
302,1,3
302,1,4
302,1,5
305,1,1
305,1,2
305,1,3
305,1,4
305,1,5
309,1,1
309,1,2
309,1,3
309,1,4
309,1,5
311,1,1
311,1,2
311,1,3
311,1,4
311,1,5
313,1,1
313,1,2
313,1,3
313,1,4
313,1,5
317,1,1
317,1,2
317,1,3
317,1,4
317,1,5
318,1,1
318,1,2
318,1,3
318,1,4
318,1,5
328,1,1
328,1,2
328,1,3
328,1,4
328,1,5
329,1,1
329,1,2
329,1,3
329,1,4
329,1,5
337,1,1
337,1,2
337,1,3
337,1,4
337,1,5
338,1,1
338,1,2
338,1,3
338,1,4
338,1,5
342,1,1
342,1,2
342,1,3
342,1,4
342,1,5
345,1,1
345,1,2
345,1,3
345,1,4
345,1,5
353,1,1
353,1,2
353,1,3
353,1,4
353,1,5
359,1,1
359,1,2
359,1,3
359,1,4
359,1,5
363,1,1
363,1,2
363,1,3
363,1,4
363,1,5
366,1,1
366,1,2
