draw,district,total_pop
4,1,353568
4,2,448303
4,3,525810
6,1,448303
6,2,568500
6,3,310878
12,1,413267
12,2,353307
12,3,561107
15,1,448303
15,2,526880
15,3,352498
18,1,413267
18,2,448303
18,3,466111
32,1,561107
32,2,436058
32,3,330516
34,1,574155
34,2,441601
34,3,311925
37,1,561107
37,2,423634
37,3,342940
40,1,561107
40,2,455696
40,3,310878
44,1,448303
44,2,526880
44,3,352498
45,1,561107
45,2,455696
45,3,310878
48,1,448303
48,2,494818
48,3,384560
50,1,310878
50,2,448303
50,3,568500
51,1,353568
51,2,448303
51,3,525810
54,1,413267
54,2,448303
54,3,466111
59,1,413267
59,2,448303
59,3,466111
61,1,574155
61,2,441601
61,3,311925
67,1,494818
67,2,448303
67,3,384560
69,1,561107
69,2,413267
69,3,353307
74,1,310878
74,2,455696
74,3,561107
77,1,330516
77,2,436058
77,3,561107
78,1,448303
78,2,513386
78,3,365992
79,1,310878
79,2,448303
79,3,568500
84,1,311925
84,2,441601
84,3,574155
86,1,448303
86,2,526880
86,3,352498
87,1,494818
87,2,520938
87,3,311925
104,1,353568
104,2,448303
104,3,525810
105,1,311925
105,2,488876
105,3,526880
115,1,574155
115,2,441601
115,3,311925
117,1,448303
117,2,471766
117,3,407612
121,1,574155
121,2,441601
121,3,311925
122,1,448303
122,2,513386
122,3,365992
128,1,342940
128,2,448303
128,3,536438
136,1,353568
136,2,448303
136,3,525810
137,1,311925
137,2,441601
137,3,574155
139,1,448303
139,2,536438
139,3,342940
140,1,413267
140,2,448303
140,3,466111
141,1,413267
141,2,448303
141,3,466111
144,1,365992
144,2,448303
144,3,513386
147,1,413267
147,2,353307
147,3,561107
148,1,448303
148,2,407612
148,3,471766
151,1,526880
151,2,448303
151,3,352498
152,1,311925
152,2,488876
152,3,526880
158,1,448303
158,2,525810
158,3,353568
168,1,574155
168,2,441601
168,3,311925
170,1,448303
170,2,568500
170,3,310878
172,1,526880
172,2,448303
172,3,352498
175,1,561107
175,2,455696
175,3,310878
176,1,574155
176,2,441601
176,3,311925
178,1,561107
178,2,413267
178,3,353307
180,1,413267
180,2,353307
180,3,561107
184,1,413267
184,2,448303
184,3,466111
187,1,413267
187,2,448303
187,3,466111
191,1,310878
191,2,455696
191,3,561107
193,1,448303
193,2,526880
193,3,352498
201,1,413267
201,2,353307
201,3,561107
204,1,311925
204,2,441601
204,3,574155
209,1,448303
209,2,568500
209,3,310878
210,1,561107
210,2,413267
210,3,353307
214,1,310878
214,2,448303
214,3,568500
220,1,526880
220,2,448303
220,3,352498
222,1,311925
222,2,441601
222,3,574155
223,1,448303
223,2,568500
223,3,310878
228,1,448303
228,2,548862
228,3,330516
229,1,448303
229,2,526880
229,3,352498
230,1,413267
230,2,353307
230,3,561107
233,1,365992
233,2,448303
233,3,513386
234,1,526880
234,2,448303
234,3,352498
240,1,448303
240,2,568500
240,3,310878
244,1,311925
244,2,520938
244,3,494818
250,1,448303
250,2,526880
250,3,352498
253,1,574155
253,2,441601
253,3,311925
255,1,448303
255,2,513386
255,3,365992
265,1,561107
265,2,436058
265,3,330516
275,1,413267
275,2,448303
275,3,466111
276,1,413267
276,2,448303
276,3,466111
289,1,311925
289,2,494818
289,3,520938
294,1,365992
294,2,400582
294,3,561107
300,1,448303
300,2,471766
300,3,407612
304,1,448303
304,2,466111
304,3,413267
305,1,526880
305,2,448303
305,3,352498
308,1,448303
308,2,513386
308,3,365992
310,1,413267
310,2,353307
310,3,561107
312,1,526880
312,2,488876
312,3,311925
315,1,448303
315,2,568500
315,3,310878
318,1,526880
318,2,448303
318,3,352498
327,1,448303
327,2,551103
327,3,328275
328,1,311925
328,2,488876
328,3,526880
333,1,311925
333,2,441601
333,3,574155
334,1,353568
334,2,448303
334,3,525810
336,1,574155
336,2,441601
336,3,311925
337,1,448303
337,2,513386
337,3,365992
340,1,413267
340,2,448303
340,3,466111
341,1,561107
341,2,455696
341,3,310878
343,1,448303
343,2,494818
343,3,384560
348,1,311925
348,2,441601
348,3,574155
350,1,353568
350,2,448303
350,3,525810
352,1,561107
352,2,413006
352,3,353568
353,1,526880
353,2,488876
353,3,311925
385,1,365992
385,2,400582
385,3,561107
387,1,448303
387,2,545448
387,3,333930
393,1,561107
393,2,455696
393,3,310878
395,1,561107
395,2,455696
395,3,310878
399,1,561107
399,2,436058
399,3,330516
400,1,310878
400,2,455696
400,3,561107
402,1,448303
402,2,503828
402,3,375550
403,1,448303
403,2,466111
403,3,413267
406,1,561107
406,2,455696
406,3,310878
408,1,413267
408,2,448303
408,3,466111
423,1,448303
423,2,548862
423,3,330516
426,1,448303
426,2,526880
426,3,352498
428,1,526880
428,2,448303
428,3,352498
433,1,561107
433,2,400582
433,3,365992
437,1,561107
437,2,423634
437,3,342940
440,1,365992
440,2,400582
440,3,561107
441,1,561107
441,2,413006
441,3,353568
442,1,448303
442,2,494818
442,3,384560
443,1,526880
443,2,448303
443,3,352498
444,1,353568
444,2,413006
444,3,561107
446,1,448303
446,2,525810
446,3,353568
448,1,413267
448,2,448303
448,3,466111
449,1,330516
449,2,436058
449,3,561107
451,1,561107
451,2,413006
451,3,353568
454,1,448303
454,2,536438
454,3,342940
456,1,574155
456,2,441601
456,3,311925
457,1,526880
457,2,488876
457,3,311925
468,1,353568
468,2,413006
468,3,561107
476,1,448303
476,2,489163
476,3,390215
481,1,413267
481,2,353307
481,3,561107
486,1,413267
486,2,353307
486,3,561107
487,1,342940
487,2,423634
487,3,561107
488,1,561107
488,2,413006
488,3,353568
490,1,413267
490,2,353307
490,3,561107
497,1,311925
497,2,441601
497,3,574155
501,1,448303
501,2,466111
501,3,413267
516,1,448303
516,2,536438
516,3,342940
517,1,471766
517,2,448303
517,3,407612
520,1,310878
520,2,448303
520,3,568500
521,1,448303
521,2,568500
521,3,310878
523,1,561107
523,2,436058
523,3,330516
527,1,311925
527,2,441601
527,3,574155
531,1,448303
531,2,494818
531,3,384560
532,1,561107
532,2,413267
532,3,353307
538,1,526880
538,2,448303
538,3,352498
541,1,574155
541,2,441601
541,3,311925
553,1,561107
553,2,400582
553,3,365992
554,1,342940
554,2,423634
554,3,561107
556,1,448303
556,2,513386
556,3,365992
558,1,561107
558,2,455696
558,3,310878
561,1,330516
561,2,436058
561,3,561107
562,1,448303
562,2,568500
562,3,310878
579,1,561107
579,2,400582
579,3,365992
580,1,448303
580,2,568500
580,3,310878
583,1,448303
583,2,466111
583,3,413267
584,1,448303
584,2,526880
584,3,352498
586,1,561107
586,2,413267
586,3,353307
598,1,448303
598,2,466111
598,3,413267
605,1,311925
605,2,441601
605,3,574155
607,1,448303
607,2,494818
607,3,384560
623,1,448303
623,2,526880
623,3,352498
625,1,574155
625,2,441601
625,3,311925
626,1,561107
626,2,413006
626,3,353568
637,1,413267
637,2,448303
637,3,466111
638,1,448303
638,2,466111
638,3,413267
647,1,574155
647,2,441601
647,3,311925
648,1,448303
648,2,526880
648,3,352498
656,1,390215
656,2,376359
656,3,561107
658,1,330516
658,2,436058
658,3,561107
659,1,561107
659,2,423634
659,3,342940
664,1,342940
664,2,448303
664,3,536438
666,1,413267
666,2,448303
666,3,466111
668,1,311925
668,2,471766
668,3,543990
673,1,526880
673,2,488876
673,3,311925
674,1,494818
674,2,448303
674,3,384560
676,1,413267
676,2,448303
676,3,466111
681,1,353568
681,2,448303
681,3,525810
691,1,448303
691,2,551103
691,3,328275
692,1,448303
692,2,471766
692,3,407612
696,1,342940
696,2,423634
696,3,561107
698,1,448303
698,2,526880
698,3,352498
700,1,561107
700,2,413006
700,3,353568
702,1,413267
702,2,448303
702,3,466111
708,1,448303
708,2,526880
708,3,352498
715,1,413267
715,2,353307
715,3,561107
723,1,561107
723,2,423634
723,3,342940
724,1,526880
724,2,488876
724,3,311925
726,1,448303
726,2,545448
726,3,333930
732,1,448303
732,2,466111
732,3,413267
735,1,561107
735,2,423634
735,3,342940
736,1,413267
736,2,353307
736,3,561107
737,1,526880
737,2,488876
737,3,311925
738,1,526880
738,2,448303
738,3,352498
739,1,526880
739,2,488876
739,3,311925
742,1,448303
742,2,494818
742,3,384560
746,1,561107
746,2,455696
746,3,310878
