draw,district,total_pop
1006,3,439811
1006,4,422898
1006,5,452699
1006,6,464151
1012,1,429945
1012,2,499748
1012,3,445512
1012,4,469395
1012,5,432200
1012,6,475169
1092,1,487127
1092,2,472662
1092,3,499748
1092,4,429910
1092,5,440977
1092,6,421545
1100,1,499748
1100,2,472662
1100,3,464151
1100,4,448632
1100,5,413101
1100,6,453675
1107,1,452524
1107,2,499748
1107,3,452699
1107,4,422933
1107,5,469395
1107,6,454670
1128,1,487127
1128,2,501408
1128,3,471002
1128,4,429910
1128,5,441936
1128,6,420586
1132,1,422933
1132,2,499748
1132,3,469395
1132,4,454670
1132,5,452524
1132,6,452699
1141,1,492348
1141,2,450280
1141,3,429707
1141,4,464151
1141,5,501408
1141,6,414075
1148,1,497954
1148,2,424285
1148,3,422933
1148,4,499748
1148,5,469395
1148,6,437654
1171,1,494008
1171,2,499748
1171,3,487127
1171,4,432329
1171,5,417212
1171,6,421545
1201,1,433774
1201,2,427959
1201,3,464151
1201,4,499748
1201,5,494008
1201,6,432329
1203,1,453675
1203,2,487127
1203,3,421545
1203,4,417212
1203,5,472662
1203,6,499748
1210,1,421263
1210,2,494008
1210,3,432329
1210,4,440470
1210,5,499748
1210,6,464151
1222,1,422933
1222,2,440470
1222,3,499748
1222,4,501846
1222,5,469395
1222,6,417577
1223,1,421263
1223,2,499748
1223,3,494008
1223,4,464151
1223,5,440470
1223,6,432329
1226,1,499748
1226,2,469395
1226,3,460861
1226,4,422933
1226,5,452524
1226,6,446508
1232,1,417577
1232,2,422933
1232,3,469395
1232,4,499748
1232,5,464753
1232,6,477563
1252,1,469395
1252,2,499748
1252,3,452699
1252,4,437654
1252,5,422933
1252,6,469540
1260,1,417212
1260,2,499748
1260,3,453675
1260,4,487127
1260,5,472662
1260,6,421545
1278,1,471002
1278,2,501408
1278,3,487127
1278,4,428748
1278,5,433774
1278,6,429910
1313,1,492348
1313,2,427304
1313,3,429707
1313,4,487127
1313,5,501408
1313,6,414075
1318,1,448632
1318,2,472662
1318,3,464151
1318,4,453675
1318,5,413101
1318,6,499748
1320,1,499748
1320,2,472662
1320,3,487127
1320,4,429910
1320,5,433774
1320,6,428748
1321,1,469395
1321,2,446508
1321,3,499748
1321,4,460861
1321,5,452524
1321,6,422933
1323,1,472662
1323,2,499748
1323,3,487127
1323,4,429910
1323,5,428748
1323,6,433774
1325,1,421263
1325,2,499748
1325,3,494008
1325,4,464151
1325,5,440470
1325,6,432329
1363,1,422933
1363,2,499748
1363,3,469395
1363,4,464753
1363,5,477563
1363,6,417577
1384,1,469540
1384,2,499748
1384,3,469395
1384,4,430642
1384,5,429945
1384,6,452699
1425,1,499748
1425,2,487127
1425,3,472662
1425,4,432815
1425,5,429707
1425,6,429910
1438,1,471002
1438,2,501408
1438,3,464151
1438,4,422898
1438,5,470965
1438,6,421545
1443,1,499748
1443,2,469395
1443,3,473595
1443,4,433774
1443,5,445512
1443,6,429945
1482,1,457741
1482,2,429945
1482,3,469395
1482,4,477563
1482,5,417577
1482,6,499748
1500,1,501408
1500,2,429910
1500,3,428748
1500,4,471002
1500,5,433774
1500,6,487127
1503,1,494008
1503,2,499748
1503,3,487127
1503,4,427304
1503,5,422237
1503,6,421545
1510,1,472662
1510,2,499748
1510,3,464151
1510,4,429910
1510,5,451724
1510,6,433774
1528,1,441936
1528,2,437654
1528,3,499748
1528,4,469395
1528,5,480303
1528,6,422933
1536,1,472662
1536,2,499748
1536,3,464151
1536,4,422898
1536,5,452040
1536,6,440470
1556,1,429064
1556,2,471002
1556,3,422898
1556,4,440470
1556,5,501408
1556,6,487127
