draw,district,total_pop
30,1,469395
30,2,489617
30,3,452699
30,4,422933
30,5,417577
30,6,499748
67,1,460861
67,2,499748
67,3,452524
67,4,422933
67,5,469395
67,6,446508
87,1,452699
87,2,499748
87,3,472662
87,4,464151
87,5,432799
87,6,429910
103,1,499748
103,2,452524
103,3,452699
103,4,454670
103,5,469395
103,6,422933
111,1,469395
111,2,469540
111,3,452699
111,4,499748
111,5,430642
111,6,429945
112,1,452699
112,2,429910
112,3,501408
112,4,432799
112,5,464151
112,6,471002
175,1,499748
175,2,472662
175,3,429910
175,4,460861
175,5,464151
175,6,424637
176,1,429945
176,2,482605
176,3,452699
176,4,499748
176,5,469395
176,6,417577
182,1,469395
182,2,499748
182,3,422933
182,4,413275
182,5,452524
182,6,494094
184,1,422933
184,2,497954
184,3,469395
184,4,424285
184,5,437654
184,6,499748
193,1,501408
193,2,452699
193,3,464151
193,4,416835
193,5,493978
193,6,422898
199,1,413275
199,2,469395
199,3,422933
199,4,494094
199,5,452524
199,6,499748
208,1,452699
208,2,472662
208,3,439811
208,4,464151
208,5,422898
208,6,499748
231,1,469540
231,2,469395
231,3,499748
231,4,422933
231,5,452699
231,6,437654
274,1,499748
274,2,452524
274,3,452699
274,4,422933
274,5,454670
274,6,469395
294,1,499748
294,2,452524
294,3,422933
294,4,469395
294,5,460861
294,6,446508
310,1,494094
310,2,422933
310,3,413275
310,4,469395
310,5,452524
310,6,499748
322,1,445512
322,2,489792
322,3,499748
322,4,417577
322,5,469395
322,6,429945
402,1,452699
402,2,472662
402,3,439811
402,4,422898
402,5,464151
402,6,499748
419,1,469395
419,2,422933
419,3,437654
419,4,499748
419,5,452699
419,6,469540
421,1,469395
421,2,422933
421,3,452699
421,4,417577
421,5,489617
421,6,499748
432,1,429945
432,2,469395
432,3,417577
432,4,499748
432,5,445512
432,6,489792
508,1,499748
508,2,494094
508,3,469395
508,4,413275
508,5,445512
508,6,429945
517,1,499748
517,2,452524
517,3,452699
517,4,454670
517,5,469395
517,6,422933
547,1,460861
547,2,469395
547,3,446508
547,4,452524
547,5,422933
547,6,499748
602,1,469395
602,2,499748
602,3,422933
602,4,452524
602,5,460861
602,6,446508
614,1,460861
614,2,499748
614,3,452524
614,4,422933
614,5,469395
614,6,446508
655,1,499748
655,2,452699
655,3,469540
655,4,437654
655,5,469395
655,6,422933
722,1,429945
722,2,469395
722,3,417577
722,4,452699
722,5,482605
722,6,499748
727,1,469395
727,2,489617
727,3,452699
727,4,422933
727,5,417577
727,6,499748
746,1,469395
746,2,417577
746,3,422933
746,4,489792
746,5,452524
746,6,499748
759,1,469395
759,2,417577
759,3,422933
759,4,489792
759,5,452524
759,6,499748
760,1,469395
760,2,460861
760,3,446508
760,4,452524
760,5,422933
760,6,499748
790,1,454670
790,2,469395
790,3,452699
790,4,499748
790,5,445512
790,6,429945
799,1,469395
799,2,452699
799,3,454670
799,4,499748
799,5,452524
799,6,422933
812,1,489792
812,2,452524
812,3,417577
812,4,499748
812,5,469395
812,6,422933
892,1,472662
892,2,464151
892,3,452699
892,4,429910
892,5,432799
892,6,499748
912,1,469395
912,2,452699
912,3,454670
912,4,452524
912,5,422933
912,6,499748
913,1,499748
913,2,489617
913,3,452699
913,4,417577
913,5,469395
913,6,422933
941,1,413275
941,2,469395
941,3,422933
941,4,494094
941,5,452524
941,6,499748
965,1,422933
965,2,469395
965,3,499748
965,4,452524
965,5,454670
965,6,452699
983,1,422933
983,2,469395
983,3,499748
983,4,452524
983,5,454670
983,6,452699
986,1,499748
986,2,472662
986,3,429910
986,4,452699
986,5,464151
986,6,432799
989,1,422898
989,2,452699
989,3,416835
989,4,472662
989,5,487127
989,6,499748
1012,1,422933
1012,2,454670
1012,3,469395
1012,4,452699
1012,5,452524
1012,6,499748
1031,1,469395
1031,2,499748
1031,3,429945
1031,4,454670
1031,5,452699
1031,6,445512
1036,1,469395
1036,2,417577
1036,3,422933
1036,4,499748
1036,5,452699
1036,6,489617
1043,1,469395
1043,2,417577
1043,3,422933
1043,4,499748
1043,5,452699
1043,6,489617
1044,1,469395
1044,2,499748
